date,arb_b,arb_c,aarb_n,abrb_s,aarb_a,crb_a,crb_be,crb_bu,crb_j,crb_d,crb_m,crb_p,crb_t,crb_s,crb_u,prb_b,prb_a,prb_c,prb_p,prb_r,mrb_s
01/01/1998,425,4500,NA,NA,NA,NA,,NA,30000,12000,14200,66800,13080,NA,144200,NA,40400,2600,NA,27880,
01/02/1998,425,4200,NA,NA,NA,NA,,NA,28700,12000,13600,62400,13080,NA,135200,NA,42200,2600,NA,27880,
01/03/1998,425,3900,NA,NA,NA,NA,,NA,27400,12000,13600,58000,12460,NA,131600,NA,45800,2725,NA,27640,
01/04/1998,400,3600,NA,NA,NA,NA,,NA,27400,11200,13000,55600,11840,NA,120000,NA,41000,2725,NA,27640,
01/05/1998,400,3300,NA,NA,NA,NA,,NA,24800,11200,12640,53200,11840,NA,112000,NA,39800,2725,NA,27400,
01/06/1998,400,3000,NA,NA,NA,NA,,NA,24800,11200,12640,52000,11395,NA,120000,NA,37400,2900,NA,27400,
01/07/1998,350,2700,NA,NA,NA,NA,,NA,24800,11200,12280,49600,11395,NA,108800,NA,38600,2900,NA,27160,
01/08/1998,350,2400,NA,NA,NA,NA,,NA,23500,11200,14800,48400,11395,NA,120000,NA,42800,2900,NA,27160,
01/09/1998,300,2100,NA,NA,NA,NA,,NA,22200,10800,15400,46000,11395,NA,128000,NA,47000,2900,NA,26920,
01/10/1998,275,4200,NA,NA,NA,NA,,NA,22200,10800,17200,47200,11395,NA,140600,NA,48800,2900,NA,26920,
01/11/1998,250,3900,NA,NA,NA,NA,,NA,20900,10800,17800,46000,10950,NA,150200,NA,45800,2900,NA,26680,
01/12/1998,250,3600,NA,NA,NA,NA,,NA,20900,10800,17800,45100,10950,NA,162800,NA,42200,2900,NA,26680,
1/13/1998,250,3300,NA,NA,NA,NA,,NA,20900,10800,19000,44200,10950,NA,162800,NA,41600,2800,NA,26440,
1/14/1998,250,3000,NA,NA,NA,NA,,NA,20900,10800,19600,45100,10950,NA,154400,NA,39800,2800,NA,26440,
1/15/1998,250,2700,NA,NA,NA,NA,,NA,22200,10800,20200,45100,10505,NA,144200,NA,35600,2800,NA,26440,
1/16/1998,250,2400,NA,NA,NA,NA,,NA,20900,10800,20800,45100,10505,NA,137000,NA,34000,2800,NA,26440,
1/17/1998,250,3600,NA,NA,NA,NA,,NA,19600,10800,22000,44200,10505,NA,129800,NA,36200,2800,NA,26200,
1/18/1998,225,3300,NA,NA,NA,NA,,NA,19600,10400,22600,43300,10505,NA,144200,NA,38600,2800,NA,26200,
1/19/1998,225,3000,NA,NA,NA,NA,,NA,18300,10400,23200,41500,10505,NA,142400,NA,38000,2800,NA,26200,
1/20/1998,225,6500,NA,NA,NA,NA,,NA,17000,10000,23800,43300,10505,NA,137000,NA,38000,2800,NA,25960,
