,Date.,arb_bayaoas_aguilarpang_00.07,Date.1,arb_camilingriver_mayantoctar_98.07,Date.2,aarb_naganriv_lunaapayao_00.10,Date.3,abrb_sinalangriv_lingsadpenarubia_00.03,Date.4,aarb_abulugriv_lukbancagayan,Date.5,crb_aligapay_quirino_01.09,Date.6,crb_benayriv_dupaxnv_06.10,Date.7,crb_buenavista_cagayanriver_isabela_00.05,Date.8,crb_jones_isabela_00.12,Date.9,Stream.Flow,Date.10,crb_dipantan_nagtipunan_quirino_00.08,Date.11,crb_magatriver_bagabagnuevavis_98.02,NA.,Date.12,crb_pinacuananriv_ilaganisabela_00.10,Date.13,crb_tugue_pinacuananriv_00.09,Date.14,crb_saltanriv_pinukpukkalinga_01.10,Date.15,crb_upi_cagayanriver_isabela_00.05,Date.16,prb_baliwagriv_stodomingonuevacija_00.06,Date.17,prb_arayat_pampriver_00-02,Date.18,prb_coronelriv_bongabonnuevaecija_00.04,NA.1,Date.19,prb_pobsanisidro_pampriver_00-05,Date.20,Stream.Flow1,Date.21,prb_riochico_zaragozanuevacija_00.06,Date.22,Stream.Flow2,mrb_stoninoriver_marikina_00-05
1,1/1/1998,425,1/1/1998,4500,1/1/1998,NA,1/1/1998,NA,1/1/1998,NA,1/1/1998,NA,1/1/1998,,1/1/1998,NA,1/1/1998,30000,1/1/1998,1670,1/1/1998,12000,1/1/1998,14200,NA,1/1/1998,66800,1/1/1998,13080,1/1/1998,NA,1/1/1998,144200,1/1/1998,NA,1/1/1998,40400,1/1/1998,2600,NA,1/1/1998,NA,1/1/1998,NA,1/1/1998,27880,1/1/1998,NA,
2,1/2/1998,425,1/2/1998,4200,1/2/1998,NA,1/2/1998,NA,1/2/1998,NA,1/2/1998,NA,1/2/1998,,1/2/1998,NA,1/2/1998,28700,1/2/1998,1670,1/2/1998,12000,1/2/1998,13600,NA,1/2/1998,62400,1/2/1998,13080,1/2/1998,NA,1/2/1998,135200,1/2/1998,NA,1/2/1998,42200,1/2/1998,2600,NA,1/2/1998,NA,1/2/1998,NA,1/2/1998,27880,1/2/1998,NA,
3,1/3/1998,425,1/3/1998,3900,1/3/1998,NA,1/3/1998,NA,1/3/1998,NA,1/3/1998,NA,1/3/1998,,1/3/1998,NA,1/3/1998,27400,1/3/1998,1550,1/3/1998,12000,1/3/1998,13600,NA,1/3/1998,58000,1/3/1998,12460,1/3/1998,NA,1/3/1998,131600,1/3/1998,NA,1/3/1998,45800,1/3/1998,2725,NA,1/3/1998,NA,1/3/1998,NA,1/3/1998,27640,1/3/1998,NA,
4,1/4/1998,400,1/4/1998,3600,1/4/1998,NA,1/4/1998,NA,1/4/1998,NA,1/4/1998,NA,1/4/1998,,1/4/1998,NA,1/4/1998,27400,1/4/1998,1550,1/4/1998,11200,1/4/1998,13000,NA,1/4/1998,55600,1/4/1998,11840,1/4/1998,NA,1/4/1998,120000,1/4/1998,NA,1/4/1998,41000,1/4/1998,2725,NA,1/4/1998,NA,1/4/1998,NA,1/4/1998,27640,1/4/1998,NA,
5,1/5/1998,400,1/5/1998,3300,1/5/1998,NA,1/5/1998,NA,1/5/1998,NA,1/5/1998,NA,1/5/1998,,1/5/1998,NA,1/5/1998,24800,1/5/1998,1550,1/5/1998,11200,1/5/1998,12640,NA,1/5/1998,53200,1/5/1998,11840,1/5/1998,NA,1/5/1998,112000,1/5/1998,NA,1/5/1998,39800,1/5/1998,2725,NA,1/5/1998,NA,1/5/1998,NA,1/5/1998,27400,1/5/1998,NA,
6,1/6/1998,400,1/6/1998,3000,1/6/1998,NA,1/6/1998,NA,1/6/1998,NA,1/6/1998,NA,1/6/1998,,1/6/1998,NA,1/6/1998,24800,1/6/1998,1550,1/6/1998,11200,1/6/1998,12640,NA,1/6/1998,52000,1/6/1998,11395,1/6/1998,NA,1/6/1998,120000,1/6/1998,NA,1/6/1998,37400,1/6/1998,2900,NA,1/6/1998,NA,1/6/1998,NA,1/6/1998,27400,1/6/1998,NA,
7,1/7/1998,350,1/7/1998,2700,1/7/1998,NA,1/7/1998,NA,1/7/1998,NA,1/7/1998,NA,1/7/1998,,1/7/1998,NA,1/7/1998,24800,1/7/1998,1470,1/7/1998,11200,1/7/1998,12280,NA,1/7/1998,49600,1/7/1998,11395,1/7/1998,NA,1/7/1998,108800,1/7/1998,NA,1/7/1998,38600,1/7/1998,2900,NA,1/7/1998,NA,1/7/1998,NA,1/7/1998,27160,1/7/1998,NA,
8,1/8/1998,350,1/8/1998,2400,1/8/1998,NA,1/8/1998,NA,1/8/1998,NA,1/8/1998,NA,1/8/1998,,1/8/1998,NA,1/8/1998,23500,1/8/1998,1470,1/8/1998,11200,1/8/1998,14800,NA,1/8/1998,48400,1/8/1998,11395,1/8/1998,NA,1/8/1998,120000,1/8/1998,NA,1/8/1998,42800,1/8/1998,2900,NA,1/8/1998,NA,1/8/1998,NA,1/8/1998,27160,1/8/1998,NA,
9,1/9/1998,300,1/9/1998,2100,1/9/1998,NA,1/9/1998,NA,1/9/1998,NA,1/9/1998,NA,1/9/1998,,1/9/1998,NA,1/9/1998,22200,1/9/1998,1470,1/9/1998,10800,1/9/1998,15400,NA,1/9/1998,46000,1/9/1998,11395,1/9/1998,NA,1/9/1998,128000,1/9/1998,NA,1/9/1998,47000,1/9/1998,2900,NA,1/9/1998,NA,1/9/1998,NA,1/9/1998,26920,1/9/1998,NA,
10,1/10/1998,275,1/10/1998,4200,1/10/1998,NA,1/10/1998,NA,1/10/1998,NA,1/10/1998,NA,1/10/1998,,1/10/1998,NA,1/10/1998,22200,1/10/1998,1470,1/10/1998,10800,1/10/1998,17200,NA,1/10/1998,47200,1/10/1998,11395,1/10/1998,NA,1/10/1998,140600,1/10/1998,NA,1/10/1998,48800,1/10/1998,2900,NA,1/10/1998,NA,1/10/1998,NA,1/10/1998,26920,1/10/1998,NA,
