date,Aparri..Cagayan.Wind.Speed.Dly..m.s.,Aparri..Cagayan.Temp.Dry.Min.Dly..degC.,Aparri..Cagayan.Temp.Dry.Max.Dly..degC.,Aparri..Cagayan.Prec.Sum.Dly..mm.,Aparri..Cagayan.RelHumidity.Dly....,BPI.Experiment.Station..Baguio.City.Wind.Speed..m.s.,BPI.Experiment.Station..Baguio.City.Temp.Dry.Max..degC.,BPI.Experiment.Station..Baguio.City.Temp.Dry.Min..degC.,BPI.Experiment.Station..Baguio.City.Prec.Sum.Dly08..mm.,BPI.Experiment.Station..Baguio.City.Rel.Humidity,MMSU.Batac..Ilocos.Norte.Wind.Speed..m.s.,MMSU.Batac..Ilocos.Norte.Temp.Dry.Min..degC.,MMSU.Batac..Ilocos.Norte.Temp.Dry.Max..degC.,MMSU.Batac..Ilocos.Norte.Prec.Sum.Dly08..mm.,MMSU.Batac..Ilocos.Norte.RelHumidity....,Cabanatuan..Nueva.Ecija.Wind.Speed.Dly..m.s.,Cabanatuan..Nueva.Ecija.Temp.Dry.Min.Dly..degC.,Cabanatuan..Nueva.Ecija.Temp.Dry.Max.Dly..degC.,Cabanatuan..Nueva.Ecija.Prec.Sum.Dly..mm.,Cabanatuan..Nueva.Ecija.RelHumidity.Dly....,Casiguran..Aurora.Wind.Speed.Dly..m.s.,Casiguran..Aurora.Temp.Dry.Min.Dly..degC.,Casiguran..Aurora.Temp.Dry.Max.Dly..degC.,Casiguran..Aurora.Prec.Sum.Dly..mm.,Casiguran..Aurora.RelHumidity.Dly....,ISU.Echague..Isabela.Wind.Speed..m.s.,ISU.Echague..Isabela.Temp.Dry.Min..degC.,ISU.Echague..Isabela.Temp.Dry.Max..degC.,ISU.Echague..Isabela.Prec.Sum.Dly08..mm.,ISU.Echague..Isabela.Rel.Humidity,CLSU.Mu√.oz..Nueva.Ecija.Wind.Speed..m.s.,CLSU.Mu√.oz..Nueva.Ecija.Temp.Dry.Min..degC.,CLSU.Mu√.oz..Nueva.Ecija.Temp.Dry.Max..degC.,CLSU.Mu√.oz..Nueva.Ecija.Prec.Sum.Dly08..mm.,CLSU.Mu√.oz..Nueva.Ecija.Rel.Humidity,Science.Garden.Quezon.City..Metro.Manila.Wind.Speed.Dly..m.s.,Science.Garden.Quezon.City..Metro.Manila.Temp.Dry.Min.Dly..degC.,Science.Garden.Quezon.City..Metro.Manila.Temp.Dry.Max.Dly..degC.,Science.Garden.Quezon.City..Metro.Manila.Prec.Sum.Dly..mm.,Science.Garden.Quezon.City..Metro.Manila.RelHumidity.Dly....,Sinait..Ilocos.Sur.Wind.Speed.Dly..m.s.,Sinait..Ilocos.Sur.Temp.Dry.Min.Dly..degC.,Sinait..Ilocos.Sur.Temp.Dry.Max.Dly..degC.,Sinait..Ilocos.Sur.Prec.Sum.Dly..mm.,Sinait..Ilocos.Sur.RelHumidity.Dly....,TCA.Camiling..Tarlac.Wind.Speed..m.s.,TCA.Camiling..Tarlac.Temp.Dry.Min..degC.,TCA.Camiling..Tarlac.Temp.Dry.Max..degC.,TCA.Camiling..Tarlac.Prec.Sum.Dly08..mm.,TCA.Camiling..Tarlac.Rel.Humidity,Tuguegarao.City..Cagayan.Wind.Speed.Dly..m.s.,Tuguegarao.City..Cagayan.Temp.Dry.Min.Dly..degC.,Tuguegarao.City..Cagayan.Temp.Dry.Max.Dly..degC.,Tuguegarao.City..Cagayan.Prec.Sum.Dly..mm.,Tuguegarao.City..Cagayan.RelHumidity.Dly....
1/1/1998,7,22.5,30.8,3.543151459,81,2,31.4,24,0,85.8080292,1,20.6,32.3,0,88,2,24,32.5,0,84.36,1,21.2,29.2,6.3,78,1,22.9,28.5,6.3,78,2,24,31.4,0,84.36,1,23.7,32.4,7.4,83.88,1,20.6,32.3,0,88,2,23.7,32,0,84.36,2,21.2,26.8,2,78
1/2/1998,7,19,28.5,30,94,2,30.1,22.8,0,80.79572993,0,19,30.7,0,81,1,20.3,31.5,0,93.1,2,17.4,26,3,83.92,2,19.9,25,3,83.92,2,22.8,30.1,0,93.1,1,21.2,29.5,0,80.47,3,21,32,0,62.17,1,21.8,31.2,0,93.1,2,16.8,23.8,0,83.92
1/3/1998,9,23,27,13.2,86.42,6,30.2,23.6,0,77.55627737,3,24,29.5,0,91,2,24,30.7,1.2,87.78,4,20.4,26.5,207.1,92,4,20.5,24.4,94.1,92,6,23.6,30.2,0,87.78,2,23.4,31.9,1.5,72.42,2,22.5,29.5,0,62.08,4.030589294,23.57558854,30.16308292,0.574358974,87.78,3,19.8,23.2,28.6,92
1/4/1998,8,21.5,26.8,2.671602489,95,0,35.5,23.8,0,82.75587591,1,22.5,30.8,0,69,1,23,33.8,8.8,91.09,3,19.4,23.8,139.4,76,0,21.3,32.7,0.9,76,0,23.8,35.5,0,91.09,1,24,34.8,0,67.08,2,22.6,32,0,70.14,0,24.6,35.8,0,91.09,3,20,27.5,0,76
1/5/1998,11,24,27.5,59.06082085,87.49327988,1,25.5,24,90.4,90.82171533,4,24.4,30.8,7.4,81,4,24,26.3,65.3,97.31,4,23,26.2,116.7,93,4,23,26.2,116.7,93,1,24,25.5,90.4,97.31,3,24,30,54.8,90.57,4,24.4,30.8,7.4,81,4,23,28.1,99,97.31,3,21.9,31.5,129.4,93
1/6/1998,5,22.5,28.5,0,88,2,32,23.7,0,76.71208029,2,21.6,35.3,0,75,1,23,33.6,0,82.54,2,20.2,30,88,82,2,21.7,24.2,0.7,82,2,23.7,32,0,82.54,1,25.4,32.3,1,75.11,2,22.3,33.4,0,67.89,3,25.2,33.1,0,82.54,2,20.5,33.5,0,82
1/7/1998,3,25.8,29.8,6.5,88,2,34.2,24.5,16.6,88.23912409,1,25,31.5,2,78,1,26,33.8,10.6,91.35,1,22,31.6,82.2,80,1,24.6,31,7,80,2,24.5,34.2,16.6,91.35,1,24.8,31,4.4,95.04,1,22.5,31,5,83.53,1,24.4,30.9,8,91.35,1,24.3,33.5,0,80
1/8/1998,9,22.3,25.8,35,94,4,22.5,22.9,0,87.46715328,2,26,34,0,80,1,23,34.2,0,92.4,5,19,27,77.9,85,1,20.5,27.5,9.2,85,4,22.9,22.5,0,92.4,1,24.5,32.1,0,70.56,2,26,34,0,80,2,24.1,33.5,0,92.4,3,21,27,1.5,85
1/9/1998,1,25.5,32.8,0,84.49,0,32.2,23.4,11.3,86.59291971,0,24,31.5,7.8,90,1,24,32,2,90.03,1,25,30.4,77,74,1,21.9,31.8,3.6,74,0,23.4,32.2,11.3,90.03,1,25.2,32.4,0,81.5,1,23.5,31.9,12,81.39,0,24.7,32.6,0.8,90.03,1,22.7,32.6,0.4,74
1/10/1998,1,27.3,34.5,5.1,86.75,0,32.7,25,0.5,86.83215328,0,24.8,32.8,0,85,1,24.5,32.8,3.8,92.31,2,21.8,32.4,73,66,1,23.9,33.8,0,66,0,25,32.7,0.5,92.31,1,24.5,31.8,15.9,89.74,2,24.7,32.8,0,78.54,1,25.3,33.6,0.7,92.31,1,22.3,30.5,0,66
