"LC1.agr","LC2.for","LC3.gr","LC4.wgr","LC5.wetl","LC6.riv","LC7.bu","LC8.barr","LC9.CN","LC10.man","LC11.fl","W1.ws","W2.tmin","W3.tmax","W4.pcp","W5.rh","O.obs","P.bd1","P.br1","P.cl1","P.sa1","P.si1","P.dem1","P.sl1","P.bd2","P.br2","P.cl2","P.sa2","P.si2","P.dem2","P.sl2","P.bd3","P.br3","P.cl3","P.sa3","P.si3","P.dem3","P.sl3","P.bd4","P.br4","P.cl4","P.sa4","P.si4","P.dem4","P.sl4","P.bd5","P.br5","P.cl5","P.sa5","P.si5","P.dem5","P.sl5","date","W6.pcpw","W7.pcpm","W8.pcpmx","C.area","C.basin","C.size","C.clim","C.mo"
10679.880127974,212425.35861433,4804.6084331,0,0,1191.225001863,134.30339532,0,61.4880583365841,0.566919350883527,6883.57102995,7,22.3,26,0,88.52,121.9,"18551","39650"," 2250","  424","22623"," 3595"," 5852","11735"," 7240"," 6757"," 7517","15948"," 3596"," 8259","10401","  351","20024","18923"," 7557","11772","11658"," 6105",0,"14948","18011"," 1091","19722","14877","  449",0," 3262"," 2366","   22"," 8556"," 6595",2002-02-19,6.07142857142857,2.75383489285714,21.5,236170.08,1,"large",3,2
10679.880127974,212425.35861433,4804.6084331,0,0,1191.225001863,134.30339532,0,61.4880583365841,0.566919350883527,6883.57102995,10,20,27.6,21.5,88.2,115.6,"18551","39650"," 2250","  424","22623"," 3595"," 5852","11735"," 7240"," 6757"," 7517","15948"," 3596"," 8259","10401","  351","20024","18923"," 7557","11772","11658"," 6105",0,"14948","18011"," 1091","19722","14877","  449",0," 3262"," 2366","   22"," 8556"," 6595",2002-02-20,6.07142857142857,2.75383489285714,21.5,236170.08,1,"large",3,2
10679.880127974,212425.35861433,4804.6084331,0,0,1191.225001863,134.30339532,0,61.4880583365841,0.566919350883527,6883.57102995,3,23.5,32,12,89.15,181,"18551","39650"," 2250","  424","22623"," 3595"," 5852","11735"," 7240"," 6757"," 7517","15948"," 3596"," 8259","10401","  351","20024","18923"," 7557","11772","11658"," 6105",0,"14948","18011"," 1091","19722","14877","  449",0," 3262"," 2366","   22"," 8556"," 6595",2002-02-21,6.07142857142857,2.75383489285714,21.5,236170.08,1,"large",3,2
10679.880127974,212425.35861433,4804.6084331,0,0,1191.225001863,134.30339532,0,61.4880583365841,0.566919350883527,6883.57102995,7,22,29,3,86.27216522,146,"18551","39650"," 2250","  424","22623"," 3595"," 5852","11735"," 7240"," 6757"," 7517","15948"," 3596"," 8259","10401","  351","20024","18923"," 7557","11772","11658"," 6105",0,"14948","18011"," 1091","19722","14877","  449",0," 3262"," 2366","   22"," 8556"," 6595",2002-02-22,6.07142857142857,2.75383489285714,21.5,236170.08,1,"large",3,2
10679.880127974,212425.35861433,4804.6084331,0,0,1191.225001863,134.30339532,0,61.4880583365841,0.566919350883527,6883.57102995,5,22,28,6,82.79,130.6,"18551","39650"," 2250","  424","22623"," 3595"," 5852","11735"," 7240"," 6757"," 7517","15948"," 3596"," 8259","10401","  351","20024","18923"," 7557","11772","11658"," 6105",0,"14948","18011"," 1091","19722","14877","  449",0," 3262"," 2366","   22"," 8556"," 6595",2002-02-23,6.07142857142857,2.75383489285714,21.5,236170.08,1,"large",3,2
10679.880127974,212425.35861433,4804.6084331,0,0,1191.225001863,134.30339532,0,61.4880583365841,0.566919350883527,6883.57102995,1,21.5,29,0,87.43,119.8,"18551","39650"," 2250","  424","22623"," 3595"," 5852","11735"," 7240"," 6757"," 7517","15948"," 3596"," 8259","10401","  351","20024","18923"," 7557","11772","11658"," 6105",0,"14948","18011"," 1091","19722","14877","  449",0," 3262"," 2366","   22"," 8556"," 6595",2002-02-24,1.94533957142857,2.75383489285714,5.5,236170.08,1,"large",3,2
10679.880127974,212425.35861433,4804.6084331,0,0,1191.225001863,134.30339532,0,61.4880583365841,0.566919350883527,6883.57102995,4,21.5,26.2,3.107376974,92.39,130.6,"18551","39650"," 2250","  424","22623"," 3595"," 5852","11735"," 7240"," 6757"," 7517","15948"," 3596"," 8259","10401","  351","20024","18923"," 7557","11772","11658"," 6105",0,"14948","18011"," 1091","19722","14877","  449",0," 3262"," 2366","   22"," 8556"," 6595",2002-02-25,1.94533957142857,2.75383489285714,5.5,236170.08,1,"large",3,2
10679.880127974,212425.35861433,4804.6084331,0,0,1191.225001863,134.30339532,0,61.4880583365841,0.566919350883527,6883.57102995,2,20,27.2,0,72.24,121.9,"18551","39650"," 2250","  424","22623"," 3595"," 5852","11735"," 7240"," 6757"," 7517","15948"," 3596"," 8259","10401","  351","20024","18923"," 7557","11772","11658"," 6105",0,"14948","18011"," 1091","19722","14877","  449",0," 3262"," 2366","   22"," 8556"," 6595",2002-02-26,1.94533957142857,2.75383489285714,5.5,236170.08,1,"large",3,2
10679.880127974,212425.35861433,4804.6084331,0,0,1191.225001863,134.30339532,0,61.4880583365841,0.566919350883527,6883.57102995,3,21,30.8,0,87.23,117.7,"18551","39650"," 2250","  424","22623"," 3595"," 5852","11735"," 7240"," 6757"," 7517","15948"," 3596"," 8259","10401","  351","20024","18923"," 7557","11772","11658"," 6105",0,"14948","18011"," 1091","19722","14877","  449",0," 3262"," 2366","   22"," 8556"," 6595",2002-02-27,1.94533957142857,2.75383489285714,5.5,236170.08,1,"large",3,2
10679.880127974,212425.35861433,4804.6084331,0,0,1191.225001863,134.30339532,0,61.4880583365841,0.566919350883527,6883.57102995,5,20,27.1,5,87.06,103,"18551","39650"," 2250","  424","22623"," 3595"," 5852","11735"," 7240"," 6757"," 7517","15948"," 3596"," 8259","10401","  351","20024","18923"," 7557","11772","11658"," 6105",0,"14948","18011"," 1091","19722","14877","  449",0," 3262"," 2366","   22"," 8556"," 6595",2002-02-28,1.94533957142857,2.75383489285714,5.5,236170.08,1,"large",3,2
