"LC1.agr","LC2.for","LC3.gr","LC4.wgr","LC5.wetl","LC6.riv","LC7.bu","LC8.barr","LC9.CN","LC10.man","LC11.fl","W1.ws","W2.tmin","W3.tmax","W4.pcp","W5.rh","O.obs","P.bd1","P.br1","P.cl1","P.sa1","P.si1","P.dem1","P.sl1","P.bd2","P.br2","P.cl2","P.sa2","P.si2","P.dem2","P.sl2","P.bd3","P.br3","P.cl3","P.sa3","P.si3","P.dem3","P.sl3","P.bd4","P.br4","P.cl4","P.sa4","P.si4","P.dem4","P.sl4","P.bd5","P.br5","P.cl5","P.sa5","P.si5","P.dem5","P.sl5","date","W6.pcpw","W7.pcpm","W8.pcpmx","C.area","C.basin","C.size","C.clim","C.mo"
23766.70473,72999.6523501,5654.93567,0,0,478.1384781,0,0,66.0509161785373,0.472861104038623,1625.398769,1,21,27.8,0,91.08162921,52.7," 3464","16955","  491"," 2224"," 2569",0," 4160"," 8322"," 3978"," 2645","10198"," 8843"," 3142"," 4982"," 7185","   57"," 8593"," 6195"," 6044"," 3189"," 6845"," 1979","    2"," 7222"," 2306"," 2988"," 8577"," 4329","   42",0," 2041","   69","  548"," 6084","  676",2001-01-01,3.08571428571429,4.48387096774194,12.1,104524.830000037,4,1,4,1
23766.70473,72999.6523501,5654.93567,0,0,478.1384781,0,0,66.0509161785373,0.472861104038623,1625.398769,4,19.2,22.9,5.4,87.08685393,53.6," 3464","16955","  491"," 2224"," 2569",0," 4160"," 8322"," 3978"," 2645","10198"," 8843"," 3142"," 4982"," 7185","   57"," 8593"," 6195"," 6044"," 3189"," 6845"," 1979","    2"," 7222"," 2306"," 2988"," 8577"," 4329","   42",0," 2041","   69","  548"," 6084","  676",2001-01-02,3.08571428571429,4.48387096774194,12.1,104524.830000037,4,1,4,1
23766.70473,72999.6523501,5654.93567,0,0,478.1384781,0,0,66.0509161785373,0.472861104038623,1625.398769,2,17,23.9,2.5,89.48011236,55.4," 3464","16955","  491"," 2224"," 2569",0," 4160"," 8322"," 3978"," 2645","10198"," 8843"," 3142"," 4982"," 7185","   57"," 8593"," 6195"," 6044"," 3189"," 6845"," 1979","    2"," 7222"," 2306"," 2988"," 8577"," 4329","   42",0," 2041","   69","  548"," 6084","  676",2001-01-03,3.08571428571429,4.48387096774194,12.1,104524.830000037,4,1,4,1
23766.70473,72999.6523501,5654.93567,0,0,478.1384781,0,0,66.0509161785373,0.472861104038623,1625.398769,0,24.8,32.3,0,85.87820225,56.3," 3464","16955","  491"," 2224"," 2569",0," 4160"," 8322"," 3978"," 2645","10198"," 8843"," 3142"," 4982"," 7185","   57"," 8593"," 6195"," 6044"," 3189"," 6845"," 1979","    2"," 7222"," 2306"," 2988"," 8577"," 4329","   42",0," 2041","   69","  548"," 6084","  676",2001-01-04,3.08571428571429,4.48387096774194,12.1,104524.830000037,4,1,4,1
23766.70473,72999.6523501,5654.93567,0,0,478.1384781,0,0,66.0509161785373,0.472861104038623,1625.398769,1,19.6,23.6,12.1,91.85533708,57.2," 3464","16955","  491"," 2224"," 2569",0," 4160"," 8322"," 3978"," 2645","10198"," 8843"," 3142"," 4982"," 7185","   57"," 8593"," 6195"," 6044"," 3189"," 6845"," 1979","    2"," 7222"," 2306"," 2988"," 8577"," 4329","   42",0," 2041","   69","  548"," 6084","  676",2001-01-05,3.08571428571429,4.48387096774194,12.1,104524.830000037,4,1,4,1
23766.70473,72999.6523501,5654.93567,0,0,478.1384781,0,0,66.0509161785373,0.472861104038623,1625.398769,3,20,26.3,1.5,87.46769663,57.2," 3464","16955","  491"," 2224"," 2569",0," 4160"," 8322"," 3978"," 2645","10198"," 8843"," 3142"," 4982"," 7185","   57"," 8593"," 6195"," 6044"," 3189"," 6845"," 1979","    2"," 7222"," 2306"," 2988"," 8577"," 4329","   42",0," 2041","   69","  548"," 6084","  676",2001-01-06,3.08571428571429,4.48387096774194,12.1,104524.830000037,4,1,4,1
23766.70473,72999.6523501,5654.93567,0,0,478.1384781,0,0,66.0509161785373,0.472861104038623,1625.398769,2,17,27.8,0.1,88.66432584,61.2," 3464","16955","  491"," 2224"," 2569",0," 4160"," 8322"," 3978"," 2645","10198"," 8843"," 3142"," 4982"," 7185","   57"," 8593"," 6195"," 6044"," 3189"," 6845"," 1979","    2"," 7222"," 2306"," 2988"," 8577"," 4329","   42",0," 2041","   69","  548"," 6084","  676",2001-01-07,2.88571428571429,4.48387096774194,10.5,104524.830000037,4,1,4,1
23766.70473,72999.6523501,5654.93567,0,0,478.1384781,0,0,66.0509161785373,0.472861104038623,1625.398769,2,20.4,28.8,0,87.45567416,59.2," 3464","16955","  491"," 2224"," 2569",0," 4160"," 8322"," 3978"," 2645","10198"," 8843"," 3142"," 4982"," 7185","   57"," 8593"," 6195"," 6044"," 3189"," 6845"," 1979","    2"," 7222"," 2306"," 2988"," 8577"," 4329","   42",0," 2041","   69","  548"," 6084","  676",2001-01-08,2.88571428571429,4.48387096774194,10.5,104524.830000037,4,1,4,1
23766.70473,72999.6523501,5654.93567,0,0,478.1384781,0,0,66.0509161785373,0.472861104038623,1625.398769,0,20,26.4,0,88.24741573,59.2," 3464","16955","  491"," 2224"," 2569",0," 4160"," 8322"," 3978"," 2645","10198"," 8843"," 3142"," 4982"," 7185","   57"," 8593"," 6195"," 6044"," 3189"," 6845"," 1979","    2"," 7222"," 2306"," 2988"," 8577"," 4329","   42",0," 2041","   69","  548"," 6084","  676",2001-01-09,2.88571428571429,4.48387096774194,10.5,104524.830000037,4,1,4,1
23766.70473,72999.6523501,5654.93567,0,0,478.1384781,0,0,66.0509161785373,0.472861104038623,1625.398769,4,20.4,24.5,1.8,92.2241573,57.2," 3464","16955","  491"," 2224"," 2569",0," 4160"," 8322"," 3978"," 2645","10198"," 8843"," 3142"," 4982"," 7185","   57"," 8593"," 6195"," 6044"," 3189"," 6845"," 1979","    2"," 7222"," 2306"," 2988"," 8577"," 4329","   42",0," 2041","   69","  548"," 6084","  676",2001-01-10,2.88571428571429,4.48387096774194,10.5,104524.830000037,4,1,4,1
23766.70473,72999.6523501,5654.93567,0,0,478.1384781,0,0,66.0509161785373,0.472861104038623,1625.398769,3,24.4,32.5,10.5,83.05,56.3," 3464","16955","  491"," 2224"," 2569",0," 4160"," 8322"," 3978"," 2645","10198"," 8843"," 3142"," 4982"," 7185","   57"," 8593"," 6195"," 6044"," 3189"," 6845"," 1979","    2"," 7222"," 2306"," 2988"," 8577"," 4329","   42",0," 2041","   69","  548"," 6084","  676",2001-01-11,2.88571428571429,4.48387096774194,10.5,104524.830000037,4,1,4,1
23766.70473,72999.6523501,5654.93567,0,0,478.1384781,0,0,66.0509161785373,0.472861104038623,1625.398769,5,18.9,22.3,1,92.2241573,55.4," 3464","16955","  491"," 2224"," 2569",0," 4160"," 8322"," 3978"," 2645","10198"," 8843"," 3142"," 4982"," 7185","   57"," 8593"," 6195"," 6044"," 3189"," 6845"," 1979","    2"," 7222"," 2306"," 2988"," 8577"," 4329","   42",0," 2041","   69","  548"," 6084","  676",2001-01-12,2.88571428571429,4.48387096774194,10.5,104524.830000037,4,1,4,1
23766.70473,72999.6523501,5654.93567,0,0,478.1384781,0,0,66.0509161785373,0.472861104038623,1625.398769,6,19,24.5,0,88.21735955,53.6," 3464","16955","  491"," 2224"," 2569",0," 4160"," 8322"," 3978"," 2645","10198"," 8843"," 3142"," 4982"," 7185","   57"," 8593"," 6195"," 6044"," 3189"," 6845"," 1979","    2"," 7222"," 2306"," 2988"," 8577"," 4329","   42",0," 2041","   69","  548"," 6084","  676",2001-01-13,2.88571428571429,4.48387096774194,10.5,104524.830000037,4,1,4,1
23766.70473,72999.6523501,5654.93567,0,0,478.1384781,0,0,66.0509161785373,0.472861104038623,1625.398769,2,21.8,32.7,6.9,84.62146067,53.6," 3464","16955","  491"," 2224"," 2569",0," 4160"," 8322"," 3978"," 2645","10198"," 8843"," 3142"," 4982"," 7185","   57"," 8593"," 6195"," 6044"," 3189"," 6845"," 1979","    2"," 7222"," 2306"," 2988"," 8577"," 4329","   42",0," 2041","   69","  548"," 6084","  676",2001-01-14,2.05714285714286,4.48387096774194,13.6,104524.830000037,4,1,4,1
23766.70473,72999.6523501,5654.93567,0,0,478.1384781,0,0,66.0509161785373,0.472861104038623,1625.398769,1,24.1,33,0,83.82370787,50.9," 3464","16955","  491"," 2224"," 2569",0," 4160"," 8322"," 3978"," 2645","10198"," 8843"," 3142"," 4982"," 7185","   57"," 8593"," 6195"," 6044"," 3189"," 6845"," 1979","    2"," 7222"," 2306"," 2988"," 8577"," 4329","   42",0," 2041","   69","  548"," 6084","  676",2001-01-15,2.05714285714286,4.48387096774194,13.6,104524.830000037,4,1,4,1
23766.70473,72999.6523501,5654.93567,0,0,478.1384781,0,0,66.0509161785373,0.472861104038623,1625.398769,2,24.6,32.9,0,85.00831461,50," 3464","16955","  491"," 2224"," 2569",0," 4160"," 8322"," 3978"," 2645","10198"," 8843"," 3142"," 4982"," 7185","   57"," 8593"," 6195"," 6044"," 3189"," 6845"," 1979","    2"," 7222"," 2306"," 2988"," 8577"," 4329","   42",0," 2041","   69","  548"," 6084","  676",2001-01-16,2.05714285714286,4.48387096774194,13.6,104524.830000037,4,1,4,1
23766.70473,72999.6523501,5654.93567,0,0,478.1384781,0,0,66.0509161785373,0.472861104038623,1625.398769,0,23.1,33,0,84.6094382,47.3," 3464","16955","  491"," 2224"," 2569",0," 4160"," 8322"," 3978"," 2645","10198"," 8843"," 3142"," 4982"," 7185","   57"," 8593"," 6195"," 6044"," 3189"," 6845"," 1979","    2"," 7222"," 2306"," 2988"," 8577"," 4329","   42",0," 2041","   69","  548"," 6084","  676",2001-01-17,2.05714285714286,4.48387096774194,13.6,104524.830000037,4,1,4,1
23766.70473,72999.6523501,5654.93567,0,0,478.1384781,0,0,66.0509161785373,0.472861104038623,1625.398769,1,23.6,33.3,0.2,85.79404494,44.6," 3464","16955","  491"," 2224"," 2569",0," 4160"," 8322"," 3978"," 2645","10198"," 8843"," 3142"," 4982"," 7185","   57"," 8593"," 6195"," 6044"," 3189"," 6845"," 1979","    2"," 7222"," 2306"," 2988"," 8577"," 4329","   42",0," 2041","   69","  548"," 6084","  676",2001-01-18,2.05714285714286,4.48387096774194,13.6,104524.830000037,4,1,4,1
23766.70473,72999.6523501,5654.93567,0,0,478.1384781,0,0,66.0509161785373,0.472861104038623,1625.398769,2,19.2,26.2,0.6,86.19292135,41.9," 3464","16955","  491"," 2224"," 2569",0," 4160"," 8322"," 3978"," 2645","10198"," 8843"," 3142"," 4982"," 7185","   57"," 8593"," 6195"," 6044"," 3189"," 6845"," 1979","    2"," 7222"," 2306"," 2988"," 8577"," 4329","   42",0," 2041","   69","  548"," 6084","  676",2001-01-19,2.05714285714286,4.48387096774194,13.6,104524.830000037,4,1,4,1
23766.70473,72999.6523501,5654.93567,0,0,478.1384781,0,0,66.0509161785373,0.472861104038623,1625.398769,1,22.8,29.4,13.6,85.79404494,39.2," 3464","16955","  491"," 2224"," 2569",0," 4160"," 8322"," 3978"," 2645","10198"," 8843"," 3142"," 4982"," 7185","   57"," 8593"," 6195"," 6044"," 3189"," 6845"," 1979","    2"," 7222"," 2306"," 2988"," 8577"," 4329","   42",0," 2041","   69","  548"," 6084","  676",2001-01-20,2.05714285714286,4.48387096774194,13.6,104524.830000037,4,1,4,1
23766.70473,72999.6523501,5654.93567,0,0,478.1384781,0,0,66.0509161785373,0.472861104038623,1625.398769,1,25.6,36.6,0,82.60303371,36," 3464","16955","  491"," 2224"," 2569",0," 4160"," 8322"," 3978"," 2645","10198"," 8843"," 3142"," 4982"," 7185","   57"," 8593"," 6195"," 6044"," 3189"," 6845"," 1979","    2"," 7222"," 2306"," 2988"," 8577"," 4329","   42",0," 2041","   69","  548"," 6084","  676",2001-01-21,7.88571428571429,4.48387096774194,40.4,104524.830000037,4,1,4,1
