"LC1.agr","LC2.for","LC3.gr","LC4.wgr","LC5.wetl","LC6.riv","LC7.bu","LC8.barr","LC9.CN","LC10.man","LC11.fl","W1.ws","W2.tmin","W3.tmax","W4.pcp","W5.rh","O.obs","P.bd1","P.br1","P.cl1","P.sa1","P.si1","P.dem1","P.sl1","P.bd2","P.br2","P.cl2","P.sa2","P.si2","P.dem2","P.sl2","P.bd3","P.br3","P.cl3","P.sa3","P.si3","P.dem3","P.sl3","P.bd4","P.br4","P.cl4","P.sa4","P.si4","P.dem4","P.sl4","P.bd5","P.br5","P.cl5","P.sa5","P.si5","P.dem5","P.sl5","date","W6.pcpw","W7.pcpm","W8.pcpmx","C.area","C.basin","C.size","C.clim","C.mo"
10532.849076943,155585.57792938,2080.42569509,0,65.07,1266.2730508,60.43405184,0,61.6510654073248,0.562648487873489,0,1,21.6,28.8,3.4,95.53,208," 7471","27440"," 2578"," 3502"," 2500",0," 2258","15114"," 5828"," 8450","15628"," 9590","  388"," 5864"," 9154","  658","13582","10837","10791"," 4747"," 9760"," 2028","    3"," 7939"," 3735"," 8154","12946","10679","  162",0," 1380","  227"," 2894","15848"," 5368",2000-01-01,21.9571428571429,39.3516129032258,46.2,169598.610000159,4,"large",3,1
10532.849076943,155585.57792938,2080.42569509,0,65.07,1266.2730508,60.43405184,0,61.6510654073248,0.562648487873489,0,3,22,30.4,16.1,95.52,208," 7471","27440"," 2578"," 3502"," 2500",0," 2258","15114"," 5828"," 8450","15628"," 9590","  388"," 5864"," 9154","  658","13582","10837","10791"," 4747"," 9760"," 2028","    3"," 7939"," 3735"," 8154","12946","10679","  162",0," 1380","  227"," 2894","15848"," 5368",2000-01-02,34.7142857142857,39.3516129032258,95,169598.610000159,4,"large",3,1
10532.849076943,155585.57792938,2080.42569509,0,65.07,1266.2730508,60.43405184,0,61.6510654073248,0.562648487873489,0,2,21.6,30.6,91,95.51,154.2," 7471","27440"," 2578"," 3502"," 2500",0," 2258","15114"," 5828"," 8450","15628"," 9590","  388"," 5864"," 9154","  658","13582","10837","10791"," 4747"," 9760"," 2028","    3"," 7939"," 3735"," 8154","12946","10679","  162",0," 1380","  227"," 2894","15848"," 5368",2000-01-03,34.7142857142857,39.3516129032258,95,169598.610000159,4,"large",3,1
10532.849076943,155585.57792938,2080.42569509,0,65.07,1266.2730508,60.43405184,0,61.6510654073248,0.562648487873489,0,1,21,26,95,95.49,152," 7471","27440"," 2578"," 3502"," 2500",0," 2258","15114"," 5828"," 8450","15628"," 9590","  388"," 5864"," 9154","  658","13582","10837","10791"," 4747"," 9760"," 2028","    3"," 7939"," 3735"," 8154","12946","10679","  162",0," 1380","  227"," 2894","15848"," 5368",2000-01-04,34.7142857142857,39.3516129032258,95,169598.610000159,4,"large",3,1
10532.849076943,155585.57792938,2080.42569509,0,65.07,1266.2730508,60.43405184,0,61.6510654073248,0.562648487873489,0,3,21.4,25.4,25.8,95.49,149.9," 7471","27440"," 2578"," 3502"," 2500",0," 2258","15114"," 5828"," 8450","15628"," 9590","  388"," 5864"," 9154","  658","13582","10837","10791"," 4747"," 9760"," 2028","    3"," 7939"," 3735"," 8154","12946","10679","  162",0," 1380","  227"," 2894","15848"," 5368",2000-01-05,34.7142857142857,39.3516129032258,95,169598.610000159,4,"large",3,1
10532.849076943,155585.57792938,2080.42569509,0,65.07,1266.2730508,60.43405184,0,61.6510654073248,0.562648487873489,0,2,18.8,27.8,1.6,95.49,147.8," 7471","27440"," 2578"," 3502"," 2500",0," 2258","15114"," 5828"," 8450","15628"," 9590","  388"," 5864"," 9154","  658","13582","10837","10791"," 4747"," 9760"," 2028","    3"," 7939"," 3735"," 8154","12946","10679","  162",0," 1380","  227"," 2894","15848"," 5368",2000-01-06,34.7142857142857,39.3516129032258,95,169598.610000159,4,"large",3,1
10532.849076943,155585.57792938,2080.42569509,0,65.07,1266.2730508,60.43405184,0,61.6510654073248,0.562648487873489,0,2,21.6,29,10.4,95.47,139.4," 7471","27440"," 2578"," 3502"," 2500",0," 2258","15114"," 5828"," 8450","15628"," 9590","  388"," 5864"," 9154","  658","13582","10837","10791"," 4747"," 9760"," 2028","    3"," 7939"," 3735"," 8154","12946","10679","  162",0," 1380","  227"," 2894","15848"," 5368",2000-01-07,34.7142857142857,39.3516129032258,95,169598.610000159,4,"large",3,1
10532.849076943,155585.57792938,2080.42569509,0,65.07,1266.2730508,60.43405184,0,61.6510654073248,0.562648487873489,0,3,18,30,3.4,95.47,141.5," 7471","27440"," 2578"," 3502"," 2500",0," 2258","15114"," 5828"," 8450","15628"," 9590","  388"," 5864"," 9154","  658","13582","10837","10791"," 4747"," 9760"," 2028","    3"," 7939"," 3735"," 8154","12946","10679","  162",0," 1380","  227"," 2894","15848"," 5368",2000-01-08,34.7142857142857,39.3516129032258,95,169598.610000159,4,"large",3,1
10532.849076943,155585.57792938,2080.42569509,0,65.07,1266.2730508,60.43405184,0,61.6510654073248,0.562648487873489,0,2,19,29.2,15.8,95.46,152," 7471","27440"," 2578"," 3502"," 2500",0," 2258","15114"," 5828"," 8450","15628"," 9590","  388"," 5864"," 9154","  658","13582","10837","10791"," 4747"," 9760"," 2028","    3"," 7939"," 3735"," 8154","12946","10679","  162",0," 1380","  227"," 2894","15848"," 5368",2000-01-09,51.3571428571429,39.3516129032258,166.3,169598.610000159,4,"large",3,1
10532.849076943,155585.57792938,2080.42569509,0,65.07,1266.2730508,60.43405184,0,61.6510654073248,0.562648487873489,0,1,21,24.4,7.4,95.46,152," 7471","27440"," 2578"," 3502"," 2500",0," 2258","15114"," 5828"," 8450","15628"," 9590","  388"," 5864"," 9154","  658","13582","10837","10791"," 4747"," 9760"," 2028","    3"," 7939"," 3735"," 8154","12946","10679","  162",0," 1380","  227"," 2894","15848"," 5368",2000-01-10,51.3571428571429,39.3516129032258,166.3,169598.610000159,4,"large",3,1
10532.849076943,155585.57792938,2080.42569509,0,65.07,1266.2730508,60.43405184,0,61.6510654073248,0.562648487873489,0,4,20.4,25.4,166.3,95.44,143.6," 7471","27440"," 2578"," 3502"," 2500",0," 2258","15114"," 5828"," 8450","15628"," 9590","  388"," 5864"," 9154","  658","13582","10837","10791"," 4747"," 9760"," 2028","    3"," 7939"," 3735"," 8154","12946","10679","  162",0," 1380","  227"," 2894","15848"," 5368",2000-01-11,51.3571428571429,39.3516129032258,166.3,169598.610000159,4,"large",3,1
10532.849076943,155585.57792938,2080.42569509,0,65.07,1266.2730508,60.43405184,0,61.6510654073248,0.562648487873489,0,4,18.8,27.4,16,95.43,139.4," 7471","27440"," 2578"," 3502"," 2500",0," 2258","15114"," 5828"," 8450","15628"," 9590","  388"," 5864"," 9154","  658","13582","10837","10791"," 4747"," 9760"," 2028","    3"," 7939"," 3735"," 8154","12946","10679","  162",0," 1380","  227"," 2894","15848"," 5368",2000-01-12,51.3571428571429,39.3516129032258,166.3,169598.610000159,4,"large",3,1
10532.849076943,155585.57792938,2080.42569509,0,65.07,1266.2730508,60.43405184,0,61.6510654073248,0.562648487873489,0,4,21.4,24.4,89.6,95.42,135.2," 7471","27440"," 2578"," 3502"," 2500",0," 2258","15114"," 5828"," 8450","15628"," 9590","  388"," 5864"," 9154","  658","13582","10837","10791"," 4747"," 9760"," 2028","    3"," 7939"," 3735"," 8154","12946","10679","  162",0," 1380","  227"," 2894","15848"," 5368",2000-01-13,51.3571428571429,39.3516129032258,166.3,169598.610000159,4,"large",3,1
10532.849076943,155585.57792938,2080.42569509,0,65.07,1266.2730508,60.43405184,0,61.6510654073248,0.562648487873489,0,3,21,28.6,71,95.42,131," 7471","27440"," 2578"," 3502"," 2500",0," 2258","15114"," 5828"," 8450","15628"," 9590","  388"," 5864"," 9154","  658","13582","10837","10791"," 4747"," 9760"," 2028","    3"," 7939"," 3735"," 8154","12946","10679","  162",0," 1380","  227"," 2894","15848"," 5368",2000-01-14,51.3571428571429,39.3516129032258,166.3,169598.610000159,4,"large",3,1
