"LC1.agr","LC2.for","LC3.gr","LC4.wgr","LC5.wetl","LC6.riv","LC7.bu","LC8.barr","LC9.CN","LC10.man","LC11.fl","W1.ws","W2.tmin","W3.tmax","W4.pcp","W5.rh","O.obs","P.bd1","P.br1","P.cl1","P.sa1","P.si1","P.dem1","P.sl1","P.bd2","P.br2","P.cl2","P.sa2","P.si2","P.dem2","P.sl2","P.bd3","P.br3","P.cl3","P.sa3","P.si3","P.dem3","P.sl3","P.bd4","P.br4","P.cl4","P.sa4","P.si4","P.dem4","P.sl4","P.bd5","P.br5","P.cl5","P.sa5","P.si5","P.dem5","P.sl5","date","W6.pcpw","W7.pcpm","W8.pcpmx","C.area","C.basin","C.size","C.clim","C.mo"
22859.5093067,186645.935767746,4275.86346796,0,0,1283.0358057,537.31565012,0,62.7773100440571,0.540285789227864,0,6,23.2,12.2,0,78.17708029,162.5," 7675","32814"," 5957"," 1729"," 8446",0," 6448"," 7293","10315"," 6089","15602","15917",0," 6488","12345","  191","12729","16672","12842","10318"," 9664","14204",0,"15157"," 6890"," 5504","14931","13145"," 1803",0," 3388"," 2427","  611","18071"," 7575",2000-01-01,3.04285714285714,3.9,20.3,215601.749999731,4,1,1,1
22859.5093067,186645.935767746,4275.86346796,0,0,1283.0358057,537.31565012,0,62.7773100440571,0.540285789227864,0,2,29.8,22.4,0,76.62740876,160," 7675","32814"," 5957"," 1729"," 8446",0," 6448"," 7293","10315"," 6089","15602","15917",0," 6488","12345","  191","12729","16672","12842","10318"," 9664","14204",0,"15157"," 6890"," 5504","14931","13145"," 1803",0," 3388"," 2427","  611","18071"," 7575",2000-01-02,1.02857142857143,3.9,4.8,215601.749999731,4,1,1,1
22859.5093067,186645.935767746,4275.86346796,0,0,1283.0358057,537.31565012,0,62.7773100440571,0.540285789227864,0,2,32.6,22.4,0,91.6539781,175," 7675","32814"," 5957"," 1729"," 8446",0," 6448"," 7293","10315"," 6089","15602","15917",0," 6488","12345","  191","12729","16672","12842","10318"," 9664","14204",0,"15157"," 6890"," 5504","14931","13145"," 1803",0," 3388"," 2427","  611","18071"," 7575",2000-01-03,1.02857142857143,3.9,4.8,215601.749999731,4,1,1,1
22859.5093067,186645.935767746,4275.86346796,0,0,1283.0358057,537.31565012,0,62.7773100440571,0.540285789227864,0,3,29.5,23.3,2.4,86.22733577,170," 7675","32814"," 5957"," 1729"," 8446",0," 6448"," 7293","10315"," 6089","15602","15917",0," 6488","12345","  191","12729","16672","12842","10318"," 9664","14204",0,"15157"," 6890"," 5504","14931","13145"," 1803",0," 3388"," 2427","  611","18071"," 7575",2000-01-04,1.02857142857143,3.9,4.8,215601.749999731,4,1,1,1
22859.5093067,186645.935767746,4275.86346796,0,0,1283.0358057,537.31565012,0,62.7773100440571,0.540285789227864,0,2,23.8,13,0,72.26733577,167.5," 7675","32814"," 5957"," 1729"," 8446",0," 6448"," 7293","10315"," 6089","15602","15917",0," 6488","12345","  191","12729","16672","12842","10318"," 9664","14204",0,"15157"," 6890"," 5504","14931","13145"," 1803",0," 3388"," 2427","  611","18071"," 7575",2000-01-05,1.02857142857143,3.9,4.8,215601.749999731,4,1,1,1
22859.5093067,186645.935767746,4275.86346796,0,0,1283.0358057,537.31565012,0,62.7773100440571,0.540285789227864,0,2,22.6,13.2,0,79.30675182,157.5," 7675","32814"," 5957"," 1729"," 8446",0," 6448"," 7293","10315"," 6089","15602","15917",0," 6488","12345","  191","12729","16672","12842","10318"," 9664","14204",0,"15157"," 6890"," 5504","14931","13145"," 1803",0," 3388"," 2427","  611","18071"," 7575",2000-01-06,1.02857142857143,3.9,4.8,215601.749999731,4,1,1,1
22859.5093067,186645.935767746,4275.86346796,0,0,1283.0358057,537.31565012,0,62.7773100440571,0.540285789227864,0,2,24.8,14.6,4.8,82.29686131,150," 7675","32814"," 5957"," 1729"," 8446",0," 6448"," 7293","10315"," 6089","15602","15917",0," 6488","12345","  191","12729","16672","12842","10318"," 9664","14204",0,"15157"," 6890"," 5504","14931","13145"," 1803",0," 3388"," 2427","  611","18071"," 7575",2000-01-07,1.02857142857143,3.9,4.8,215601.749999731,4,1,1,1
22859.5093067,186645.935767746,4275.86346796,0,0,1283.0358057,537.31565012,0,62.7773100440571,0.540285789227864,0,2,28.5,20.9,0,80.21248175,150," 7675","32814"," 5957"," 1729"," 8446",0," 6448"," 7293","10315"," 6089","15602","15917",0," 6488","12345","  191","12729","16672","12842","10318"," 9664","14204",0,"15157"," 6890"," 5504","14931","13145"," 1803",0," 3388"," 2427","  611","18071"," 7575",2000-01-08,1.02857142857143,3.9,4.8,215601.749999731,4,1,1,1
22859.5093067,186645.935767746,4275.86346796,0,0,1283.0358057,537.31565012,0,62.7773100440571,0.540285789227864,0,2,20.6,11.8,0,75.86708029,172.5," 7675","32814"," 5957"," 1729"," 8446",0," 6448"," 7293","10315"," 6089","15602","15917",0," 6488","12345","  191","12729","16672","12842","10318"," 9664","14204",0,"15157"," 6890"," 5504","14931","13145"," 1803",0," 3388"," 2427","  611","18071"," 7575",2000-01-09,4.34285714285714,3.9,26.4,215601.749999731,4,1,1,1
22859.5093067,186645.935767746,4275.86346796,0,0,1283.0358057,537.31565012,0,62.7773100440571,0.540285789227864,0,2,23.6,15,26.4,81.54609489,147.5," 7675","32814"," 5957"," 1729"," 8446",0," 6448"," 7293","10315"," 6089","15602","15917",0," 6488","12345","  191","12729","16672","12842","10318"," 9664","14204",0,"15157"," 6890"," 5504","14931","13145"," 1803",0," 3388"," 2427","  611","18071"," 7575",2000-01-10,4.34285714285714,3.9,26.4,215601.749999731,4,1,1,1
22859.5093067,186645.935767746,4275.86346796,0,0,1283.0358057,537.31565012,0,62.7773100440571,0.540285789227864,0,2,30.5,23,2.4,70.01266423,140," 7675","32814"," 5957"," 1729"," 8446",0," 6448"," 7293","10315"," 6089","15602","15917",0," 6488","12345","  191","12729","16672","12842","10318"," 9664","14204",0,"15157"," 6890"," 5504","14931","13145"," 1803",0," 3388"," 2427","  611","18071"," 7575",2000-01-11,4.34285714285714,3.9,26.4,215601.749999731,4,1,1,1
22859.5093067,186645.935767746,4275.86346796,0,0,1283.0358057,537.31565012,0,62.7773100440571,0.540285789227864,0,5,22.6,14,0,77.66251825,140," 7675","32814"," 5957"," 1729"," 8446",0," 6448"," 7293","10315"," 6089","15602","15917",0," 6488","12345","  191","12729","16672","12842","10318"," 9664","14204",0,"15157"," 6890"," 5504","14931","13145"," 1803",0," 3388"," 2427","  611","18071"," 7575",2000-01-12,4.34285714285714,3.9,26.4,215601.749999731,4,1,1,1
22859.5093067,186645.935767746,4275.86346796,0,0,1283.0358057,537.31565012,0,62.7773100440571,0.540285789227864,0,4,31.6,24.2,0,74.91343066,127.5," 7675","32814"," 5957"," 1729"," 8446",0," 6448"," 7293","10315"," 6089","15602","15917",0," 6488","12345","  191","12729","16672","12842","10318"," 9664","14204",0,"15157"," 6890"," 5504","14931","13145"," 1803",0," 3388"," 2427","  611","18071"," 7575",2000-01-13,4.34285714285714,3.9,26.4,215601.749999731,4,1,1,1
22859.5093067,186645.935767746,4275.86346796,0,0,1283.0358057,537.31565012,0,62.7773100440571,0.540285789227864,0,4,26.6,21.5,1.6,80.80229927,127.5," 7675","32814"," 5957"," 1729"," 8446",0," 6448"," 7293","10315"," 6089","15602","15917",0," 6488","12345","  191","12729","16672","12842","10318"," 9664","14204",0,"15157"," 6890"," 5504","14931","13145"," 1803",0," 3388"," 2427","  611","18071"," 7575",2000-01-14,4.34285714285714,3.9,26.4,215601.749999731,4,1,1,1
22859.5093067,186645.935767746,4275.86346796,0,0,1283.0358057,537.31565012,0,62.7773100440571,0.540285789227864,0,2,21.8,11,0,81.11514599,125," 7675","32814"," 5957"," 1729"," 8446",0," 6448"," 7293","10315"," 6089","15602","15917",0," 6488","12345","  191","12729","16672","12842","10318"," 9664","14204",0,"15157"," 6890"," 5504","14931","13145"," 1803",0," 3388"," 2427","  611","18071"," 7575",2000-01-15,4.34285714285714,3.9,26.4,215601.749999731,4,1,1,1
22859.5093067,186645.935767746,4275.86346796,0,0,1283.0358057,537.31565012,0,62.7773100440571,0.540285789227864,0,5,31,23.2,0,71.65532847,123," 7675","32814"," 5957"," 1729"," 8446",0," 6448"," 7293","10315"," 6089","15602","15917",0," 6488","12345","  191","12729","16672","12842","10318"," 9664","14204",0,"15157"," 6890"," 5504","14931","13145"," 1803",0," 3388"," 2427","  611","18071"," 7575",2000-01-16,4.82857142857143,3.9,31.8,215601.749999731,4,1,1,1
22859.5093067,186645.935767746,4275.86346796,0,0,1283.0358057,537.31565012,0,62.7773100440571,0.540285789227864,0,2,29,21.6,0,68.45062044,121," 7675","32814"," 5957"," 1729"," 8446",0," 6448"," 7293","10315"," 6089","15602","15917",0," 6488","12345","  191","12729","16672","12842","10318"," 9664","14204",0,"15157"," 6890"," 5504","14931","13145"," 1803",0," 3388"," 2427","  611","18071"," 7575",2000-01-17,4.82857142857143,3.9,31.8,215601.749999731,4,1,1,1
22859.5093067,186645.935767746,4275.86346796,0,0,1283.0358057,537.31565012,0,62.7773100440571,0.540285789227864,0,4,22.6,10.2,0,82.12722628,119," 7675","32814"," 5957"," 1729"," 8446",0," 6448"," 7293","10315"," 6089","15602","15917",0," 6488","12345","  191","12729","16672","12842","10318"," 9664","14204",0,"15157"," 6890"," 5504","14931","13145"," 1803",0," 3388"," 2427","  611","18071"," 7575",2000-01-18,4.82857142857143,3.9,31.8,215601.749999731,4,1,1,1
22859.5093067,186645.935767746,4275.86346796,0,0,1283.0358057,537.31565012,0,62.7773100440571,0.540285789227864,0,1,24.2,11.6,0,81.53215328,115," 7675","32814"," 5957"," 1729"," 8446",0," 6448"," 7293","10315"," 6089","15602","15917",0," 6488","12345","  191","12729","16672","12842","10318"," 9664","14204",0,"15157"," 6890"," 5504","14931","13145"," 1803",0," 3388"," 2427","  611","18071"," 7575",2000-01-19,4.82857142857143,3.9,31.8,215601.749999731,4,1,1,1
22859.5093067,186645.935767746,4275.86346796,0,0,1283.0358057,537.31565012,0,62.7773100440571,0.540285789227864,0,2,25.4,18.2,1.5,89.27091241,113," 7675","32814"," 5957"," 1729"," 8446",0," 6448"," 7293","10315"," 6089","15602","15917",0," 6488","12345","  191","12729","16672","12842","10318"," 9664","14204",0,"15157"," 6890"," 5504","14931","13145"," 1803",0," 3388"," 2427","  611","18071"," 7575",2000-01-20,4.82857142857143,3.9,31.8,215601.749999731,4,1,1,1
22859.5093067,186645.935767746,4275.86346796,0,0,1283.0358057,537.31565012,0,62.7773100440571,0.540285789227864,0,1,24.4,15,0.5,87.6939781,182.5," 7675","32814"," 5957"," 1729"," 8446",0," 6448"," 7293","10315"," 6089","15602","15917",0," 6488","12345","  191","12729","16672","12842","10318"," 9664","14204",0,"15157"," 6890"," 5504","14931","13145"," 1803",0," 3388"," 2427","  611","18071"," 7575",2000-01-21,4.82857142857143,3.9,31.8,215601.749999731,4,1,1,1
22859.5093067,186645.935767746,4275.86346796,0,0,1283.0358057,537.31565012,0,62.7773100440571,0.540285789227864,0,1,23.8,17,31.8,91.56521898,180," 7675","32814"," 5957"," 1729"," 8446",0," 6448"," 7293","10315"," 6089","15602","15917",0," 6488","12345","  191","12729","16672","12842","10318"," 9664","14204",0,"15157"," 6890"," 5504","14931","13145"," 1803",0," 3388"," 2427","  611","18071"," 7575",2000-01-22,4.82857142857143,3.9,31.8,215601.749999731,4,1,1,1
22859.5093067,186645.935767746,4275.86346796,0,0,1283.0358057,537.31565012,0,62.7773100440571,0.540285789227864,0,1,34.4,24.6,0,85.46065693,155," 7675","32814"," 5957"," 1729"," 8446",0," 6448"," 7293","10315"," 6089","15602","15917",0," 6488","12345","  191","12729","16672","12842","10318"," 9664","14204",0,"15157"," 6890"," 5504","14931","13145"," 1803",0," 3388"," 2427","  611","18071"," 7575",2000-01-23,2.87142857142857,3.9,5.8,215601.749999731,4,1,1,1
22859.5093067,186645.935767746,4275.86346796,0,0,1283.0358057,537.31565012,0,62.7773100440571,0.540285789227864,0,1,23,15.4,4.1,90.07642336,150," 7675","32814"," 5957"," 1729"," 8446",0," 6448"," 7293","10315"," 6089","15602","15917",0," 6488","12345","  191","12729","16672","12842","10318"," 9664","14204",0,"15157"," 6890"," 5504","14931","13145"," 1803",0," 3388"," 2427","  611","18071"," 7575",2000-01-24,2.87142857142857,3.9,5.8,215601.749999731,4,1,1,1
