"LC1.agr","LC2.for","LC3.gr","LC4.wgr","LC5.wetl","LC6.riv","LC7.bu","LC8.barr","LC9.CN","LC10.man","LC11.fl","W1.ws","W2.tmin","W3.tmax","W4.pcp","W5.rh","O.obs","P.bd1","P.br1","P.cl1","P.sa1","P.si1","P.dem1","P.sl1","P.bd2","P.br2","P.cl2","P.sa2","P.si2","P.dem2","P.sl2","P.bd3","P.br3","P.cl3","P.sa3","P.si3","P.dem3","P.sl3","P.bd4","P.br4","P.cl4","P.sa4","P.si4","P.dem4","P.sl4","P.bd5","P.br5","P.cl5","P.sa5","P.si5","P.dem5","P.sl5","date","W6.pcpw","W7.pcpm","W8.pcpmx","C.area","C.basin","C.size","C.clim","C.mo"
35986.8321774,267615.242526128,10207.878359207,0,1776.680412103,1538.723588855,388.243624157,0,63.1963678652014,0.529704854811684,0,2,20.5,30.6,0.2,86.86831461,71.8,"25252","23525"," 2875"," 1811","16895"," 1774","11577","18524","19179"," 8540","15245","24982"," 9362","12851"," 7210"," 9310","17364","19390"," 9951","17651","11837"," 1755","  824","16017","14238","  983","16509","12127","   97",0," 8042"," 2154","   27"," 7542"," 4446",2000-09-01,6.07142857142857,12.56,33.9,317551.590000366,4,1,4,9
35986.8321774,267615.242526128,10207.878359207,0,1776.680412103,1538.723588855,388.243624157,0,63.1963678652014,0.529704854811684,0,1,22,28.8,1.9,88.06494382,108.6,"25252","23525"," 2875"," 1811","16895"," 1774","11577","18524","19179"," 8540","15245","24982"," 9362","12851"," 7210"," 9310","17364","19390"," 9951","17651","11837"," 1755","  824","16017","14238","  983","16509","12127","   97",0," 8042"," 2154","   27"," 7542"," 4446",2000-09-02,6.07142857142857,12.56,33.9,317551.590000366,4,1,4,9
35986.8321774,267615.242526128,10207.878359207,0,1776.680412103,1538.723588855,388.243624157,0,63.1963678652014,0.529704854811684,0,1,19.6,32.8,0,85.67168539,168.3,"25252","23525"," 2875"," 1811","16895"," 1774","11577","18524","19179"," 8540","15245","24982"," 9362","12851"," 7210"," 9310","17364","19390"," 9951","17651","11837"," 1755","  824","16017","14238","  983","16509","12127","   97",0," 8042"," 2154","   27"," 7542"," 4446",2000-09-03,9.4,12.56,31.5,317551.590000366,4,1,4,9
35986.8321774,267615.242526128,10207.878359207,0,1776.680412103,1538.723588855,388.243624157,0,63.1963678652014,0.529704854811684,0,4,21,28.8,10,87.26117978,191.4,"25252","23525"," 2875"," 1811","16895"," 1774","11577","18524","19179"," 8540","15245","24982"," 9362","12851"," 7210"," 9310","17364","19390"," 9951","17651","11837"," 1755","  824","16017","14238","  983","16509","12127","   97",0," 8042"," 2154","   27"," 7542"," 4446",2000-09-04,9.4,12.56,31.5,317551.590000366,4,1,4,9
35986.8321774,267615.242526128,10207.878359207,0,1776.680412103,1538.723588855,388.243624157,0,63.1963678652014,0.529704854811684,0,1,20.1,27,11.8,88.05893258,141,"25252","23525"," 2875"," 1811","16895"," 1774","11577","18524","19179"," 8540","15245","24982"," 9362","12851"," 7210"," 9310","17364","19390"," 9951","17651","11837"," 1755","  824","16017","14238","  983","16509","12127","   97",0," 8042"," 2154","   27"," 7542"," 4446",2000-09-05,9.4,12.56,31.5,317551.590000366,4,1,4,9
35986.8321774,267615.242526128,10207.878359207,0,1776.680412103,1538.723588855,388.243624157,0,63.1963678652014,0.529704854811684,0,2,19.1,30.9,0,87.26117978,111.8,"25252","23525"," 2875"," 1811","16895"," 1774","11577","18524","19179"," 8540","15245","24982"," 9362","12851"," 7210"," 9310","17364","19390"," 9951","17651","11837"," 1755","  824","16017","14238","  983","16509","12127","   97",0," 8042"," 2154","   27"," 7542"," 4446",2000-09-06,9.4,12.56,31.5,317551.590000366,4,1,4,9
35986.8321774,267615.242526128,10207.878359207,0,1776.680412103,1538.723588855,388.243624157,0,63.1963678652014,0.529704854811684,0,0,23.3,30,31.5,86.06455056,100.6,"25252","23525"," 2875"," 1811","16895"," 1774","11577","18524","19179"," 8540","15245","24982"," 9362","12851"," 7210"," 9310","17364","19390"," 9951","17651","11837"," 1755","  824","16017","14238","  983","16509","12127","   97",0," 8042"," 2154","   27"," 7542"," 4446",2000-09-07,9.4,12.56,31.5,317551.590000366,4,1,4,9
35986.8321774,267615.242526128,10207.878359207,0,1776.680412103,1538.723588855,388.243624157,0,63.1963678652014,0.529704854811684,0,3,19.6,25.6,10.7,91.64882022,111.8,"25252","23525"," 2875"," 1811","16895"," 1774","11577","18524","19179"," 8540","15245","24982"," 9362","12851"," 7210"," 9310","17364","19390"," 9951","17651","11837"," 1755","  824","16017","14238","  983","16509","12127","   97",0," 8042"," 2154","   27"," 7542"," 4446",2000-09-08,9.4,12.56,31.5,317551.590000366,4,1,4,9
35986.8321774,267615.242526128,10207.878359207,0,1776.680412103,1538.723588855,388.243624157,0,63.1963678652014,0.529704854811684,0,3,19.2,28.9,1.8,87.26117978,117,"25252","23525"," 2875"," 1811","16895"," 1774","11577","18524","19179"," 8540","15245","24982"," 9362","12851"," 7210"," 9310","17364","19390"," 9951","17651","11837"," 1755","  824","16017","14238","  983","16509","12127","   97",0," 8042"," 2154","   27"," 7542"," 4446",2000-09-09,9.4,12.56,31.5,317551.590000366,4,1,4,9
35986.8321774,267615.242526128,10207.878359207,0,1776.680412103,1538.723588855,388.243624157,0,63.1963678652014,0.529704854811684,0,1,22.3,28.6,0,90.05331461,254,"25252","23525"," 2875"," 1811","16895"," 1774","11577","18524","19179"," 8540","15245","24982"," 9362","12851"," 7210"," 9310","17364","19390"," 9951","17651","11837"," 1755","  824","16017","14238","  983","16509","12127","   97",0," 8042"," 2154","   27"," 7542"," 4446",2000-09-10,1.01428571428571,12.56,2.7,317551.590000366,4,1,4,9
