"LC1.agr","LC2.for","LC3.gr","LC4.wgr","LC5.wetl","LC6.riv","LC7.bu","LC8.barr","LC9.CN","LC10.man","LC11.fl","W1.ws","W2.tmin","W3.tmax","W4.pcp","W5.rh","O.obs","P.bd1","P.br1","P.cl1","P.sa1","P.si1","P.dem1","P.sl1","P.bd2","P.br2","P.cl2","P.sa2","P.si2","P.dem2","P.sl2","P.bd3","P.br3","P.cl3","P.sa3","P.si3","P.dem3","P.sl3","P.bd4","P.br4","P.cl4","P.sa4","P.si4","P.dem4","P.sl4","P.bd5","P.br5","P.cl5","P.sa5","P.si5","P.dem5","P.sl5","date","W6.pcpw","W7.pcpm","W8.pcpmx","C.area","C.basin","C.size","C.clim","C.mo"
1444.22721585,81945.97904062,996.0932494,0,0,116.54366001,0,0,60.6202414546865,0.586098511596412,764.236829,0,23,34.2,0,78.36,59.1," 8190","16567"," 4822","   65"," 4181",0," 1060"," 5366","  553"," 4570"," 2737"," 6128"," 1072"," 2221"," 3099","    6"," 2569"," 5046"," 5148"," 2853"," 3677","  466",0," 3977"," 6342"," 1565"," 3555"," 5935","    5",0," 1188"," 2936","  104"," 9646"," 4233",2001-11-01,0.171428571428571,0.987,1,85267.080000061,4,"small",3,11
1444.22721585,81945.97904062,996.0932494,0,0,116.54366001,0,0,60.6202414546865,0.586098511596412,764.236829,0,22.2,34,0.2,79,58," 8190","16567"," 4822","   65"," 4181",0," 1060"," 5366","  553"," 4570"," 2737"," 6128"," 1072"," 2221"," 3099","    6"," 2569"," 5046"," 5148"," 2853"," 3677","  466",0," 3977"," 6342"," 1565"," 3555"," 5935","    5",0," 1188"," 2936","  104"," 9646"," 4233",2001-11-02,0.171428571428571,0.987,1,85267.080000061,4,"small",3,11
1444.22721585,81945.97904062,996.0932494,0,0,116.54366001,0,0,60.6202414546865,0.586098511596412,764.236829,1,21,30.5,0,77,56.9," 8190","16567"," 4822","   65"," 4181",0," 1060"," 5366","  553"," 4570"," 2737"," 6128"," 1072"," 2221"," 3099","    6"," 2569"," 5046"," 5148"," 2853"," 3677","  466",0," 3977"," 6342"," 1565"," 3555"," 5935","    5",0," 1188"," 2936","  104"," 9646"," 4233",2001-11-03,0.171428571428571,0.987,1,85267.080000061,4,"small",3,11
1444.22721585,81945.97904062,996.0932494,0,0,116.54366001,0,0,60.6202414546865,0.586098511596412,764.236829,1,22,36,0,67,55.8," 8190","16567"," 4822","   65"," 4181",0," 1060"," 5366","  553"," 4570"," 2737"," 6128"," 1072"," 2221"," 3099","    6"," 2569"," 5046"," 5148"," 2853"," 3677","  466",0," 3977"," 6342"," 1565"," 3555"," 5935","    5",0," 1188"," 2936","  104"," 9646"," 4233",2001-11-04,1.81428571428571,0.987,6,85267.080000061,4,"small",3,11
1444.22721585,81945.97904062,996.0932494,0,0,116.54366001,0,0,60.6202414546865,0.586098511596412,764.236829,1,19.6,32,0.5,83,61.3," 8190","16567"," 4822","   65"," 4181",0," 1060"," 5366","  553"," 4570"," 2737"," 6128"," 1072"," 2221"," 3099","    6"," 2569"," 5046"," 5148"," 2853"," 3677","  466",0," 3977"," 6342"," 1565"," 3555"," 5935","    5",0," 1188"," 2936","  104"," 9646"," 4233",2001-11-05,1.81428571428571,0.987,6,85267.080000061,4,"small",3,11
1444.22721585,81945.97904062,996.0932494,0,0,116.54366001,0,0,60.6202414546865,0.586098511596412,764.236829,1,22,32.5,6,71,56.9," 8190","16567"," 4822","   65"," 4181",0," 1060"," 5366","  553"," 4570"," 2737"," 6128"," 1072"," 2221"," 3099","    6"," 2569"," 5046"," 5148"," 2853"," 3677","  466",0," 3977"," 6342"," 1565"," 3555"," 5935","    5",0," 1188"," 2936","  104"," 9646"," 4233",2001-11-06,1.81428571428571,0.987,6,85267.080000061,4,"small",3,11
1444.22721585,81945.97904062,996.0932494,0,0,116.54366001,0,0,60.6202414546865,0.586098511596412,764.236829,1,22,26.5,4.2,84,87.7," 8190","16567"," 4822","   65"," 4181",0," 1060"," 5366","  553"," 4570"," 2737"," 6128"," 1072"," 2221"," 3099","    6"," 2569"," 5046"," 5148"," 2853"," 3677","  466",0," 3977"," 6342"," 1565"," 3555"," 5935","    5",0," 1188"," 2936","  104"," 9646"," 4233",2001-11-07,1.81428571428571,0.987,6,85267.080000061,4,"small",3,11
1444.22721585,81945.97904062,996.0932494,0,0,116.54366001,0,0,60.6202414546865,0.586098511596412,764.236829,3,21.5,27.5,0,77,151.5," 8190","16567"," 4822","   65"," 4181",0," 1060"," 5366","  553"," 4570"," 2737"," 6128"," 1072"," 2221"," 3099","    6"," 2569"," 5046"," 5148"," 2853"," 3677","  466",0," 3977"," 6342"," 1565"," 3555"," 5935","    5",0," 1188"," 2936","  104"," 9646"," 4233",2001-11-08,1.81428571428571,0.987,6,85267.080000061,4,"small",3,11
1444.22721585,81945.97904062,996.0932494,0,0,116.54366001,0,0,60.6202414546865,0.586098511596412,764.236829,2,19.2,28,0,88,190," 8190","16567"," 4822","   65"," 4181",0," 1060"," 5366","  553"," 4570"," 2737"," 6128"," 1072"," 2221"," 3099","    6"," 2569"," 5046"," 5148"," 2853"," 3677","  466",0," 3977"," 6342"," 1565"," 3555"," 5935","    5",0," 1188"," 2936","  104"," 9646"," 4233",2001-11-09,1.81428571428571,0.987,6,85267.080000061,4,"small",3,11
1444.22721585,81945.97904062,996.0932494,0,0,116.54366001,0,0,60.6202414546865,0.586098511596412,764.236829,0,23.7,35,2,82,190," 8190","16567"," 4822","   65"," 4181",0," 1060"," 5366","  553"," 4570"," 2737"," 6128"," 1072"," 2221"," 3099","    6"," 2569"," 5046"," 5148"," 2853"," 3677","  466",0," 3977"," 6342"," 1565"," 3555"," 5935","    5",0," 1188"," 2936","  104"," 9646"," 4233",2001-11-10,1.81428571428571,0.987,6,85267.080000061,4,"small",3,11
