"LC1.agr","LC2.for","LC3.gr","LC4.wgr","LC5.wetl","LC6.riv","LC7.bu","LC8.barr","LC9.CN","LC10.man","LC11.fl","W1.ws","W2.tmin","W3.tmax","W4.pcp","W5.rh","O.obs","P.bd1","P.br1","P.cl1","P.sa1","P.si1","P.dem1","P.sl1","P.bd2","P.br2","P.cl2","P.sa2","P.si2","P.dem2","P.sl2","P.bd3","P.br3","P.cl3","P.sa3","P.si3","P.dem3","P.sl3","P.bd4","P.br4","P.cl4","P.sa4","P.si4","P.dem4","P.sl4","P.bd5","P.br5","P.cl5","P.sa5","P.si5","P.dem5","P.sl5","date","W6.pcpw","W7.pcpm","W8.pcpmx","C.area","C.basin","C.size","C.clim","C.mo"
6788.175326,49987.35241934,9258.0768,0,0.060366358,334.544882,625.6837231,0,65.3600088003923,0.485262926492808,0,1,16,32.4,0,79,48.8,"4821","8342"," 970"," 236","4934","1392","2810","2279","4129","2049","3526","5700","2208","2983","3171"," 900","3810","5286","1717","4168","2296","2297","   9","4839","3813"," 898","2937","3098"," 812",0,"1712"," 519"," 131","2675","2193",2000-01-01,6.75714285714286,3.91290322580645,37.6,66999.9599997681,4,0,4,1
6788.175326,49987.35241934,9258.0768,0,0.060366358,334.544882,625.6837231,0,65.3600088003923,0.485262926492808,0,0,19.5,28.8,2.3,83,46.8,"4821","8342"," 970"," 236","4934","1392","2810","2279","4129","2049","3526","5700","2208","2983","3171"," 900","3810","5286","1717","4168","2296","2297","   9","4839","3813"," 898","2937","3098"," 812",0,"1712"," 519"," 131","2675","2193",2000-01-02,5.84285714285714,3.91290322580645,20.7,66999.9599997681,4,0,4,1
6788.175326,49987.35241934,9258.0768,0,0.060366358,334.544882,625.6837231,0,65.3600088003923,0.485262926492808,0,1,18.8,29,20.7,85,46.8,"4821","8342"," 970"," 236","4934","1392","2810","2279","4129","2049","3526","5700","2208","2983","3171"," 900","3810","5286","1717","4168","2296","2297","   9","4839","3813"," 898","2937","3098"," 812",0,"1712"," 519"," 131","2675","2193",2000-01-03,5.84285714285714,3.91290322580645,20.7,66999.9599997681,4,0,4,1
6788.175326,49987.35241934,9258.0768,0,0.060366358,334.544882,625.6837231,0,65.3600088003923,0.485262926492808,0,1,20,27.5,15.2,88,46.8,"4821","8342"," 970"," 236","4934","1392","2810","2279","4129","2049","3526","5700","2208","2983","3171"," 900","3810","5286","1717","4168","2296","2297","   9","4839","3813"," 898","2937","3098"," 812",0,"1712"," 519"," 131","2675","2193",2000-01-04,5.84285714285714,3.91290322580645,20.7,66999.9599997681,4,0,4,1
6788.175326,49987.35241934,9258.0768,0,0.060366358,334.544882,625.6837231,0,65.3600088003923,0.485262926492808,0,2,20,27,0,81,45.8,"4821","8342"," 970"," 236","4934","1392","2810","2279","4129","2049","3526","5700","2208","2983","3171"," 900","3810","5286","1717","4168","2296","2297","   9","4839","3813"," 898","2937","3098"," 812",0,"1712"," 519"," 131","2675","2193",2000-01-05,5.84285714285714,3.91290322580645,20.7,66999.9599997681,4,0,4,1
6788.175326,49987.35241934,9258.0768,0,0.060366358,334.544882,625.6837231,0,65.3600088003923,0.485262926492808,0,1,18,31.4,0,77,46.8,"4821","8342"," 970"," 236","4934","1392","2810","2279","4129","2049","3526","5700","2208","2983","3171"," 900","3810","5286","1717","4168","2296","2297","   9","4839","3813"," 898","2937","3098"," 812",0,"1712"," 519"," 131","2675","2193",2000-01-06,5.84285714285714,3.91290322580645,20.7,66999.9599997681,4,0,4,1
6788.175326,49987.35241934,9258.0768,0,0.060366358,334.544882,625.6837231,0,65.3600088003923,0.485262926492808,0,1,22,28,1.2,79,46.8,"4821","8342"," 970"," 236","4934","1392","2810","2279","4129","2049","3526","5700","2208","2983","3171"," 900","3810","5286","1717","4168","2296","2297","   9","4839","3813"," 898","2937","3098"," 812",0,"1712"," 519"," 131","2675","2193",2000-01-07,5.84285714285714,3.91290322580645,20.7,66999.9599997681,4,0,4,1
6788.175326,49987.35241934,9258.0768,0,0.060366358,334.544882,625.6837231,0,65.3600088003923,0.485262926492808,0,1,16.3,31.5,0,87,45.8,"4821","8342"," 970"," 236","4934","1392","2810","2279","4129","2049","3526","5700","2208","2983","3171"," 900","3810","5286","1717","4168","2296","2297","   9","4839","3813"," 898","2937","3098"," 812",0,"1712"," 519"," 131","2675","2193",2000-01-08,5.84285714285714,3.91290322580645,20.7,66999.9599997681,4,0,4,1
6788.175326,49987.35241934,9258.0768,0,0.060366358,334.544882,625.6837231,0,65.3600088003923,0.485262926492808,0,3,14,28.4,3.8,85,45.8,"4821","8342"," 970"," 236","4934","1392","2810","2279","4129","2049","3526","5700","2208","2983","3171"," 900","3810","5286","1717","4168","2296","2297","   9","4839","3813"," 898","2937","3098"," 812",0,"1712"," 519"," 131","2675","2193",2000-01-09,1.78571428571429,3.91290322580645,6.2,66999.9599997681,4,0,4,1
6788.175326,49987.35241934,9258.0768,0,0.060366358,334.544882,625.6837231,0,65.3600088003923,0.485262926492808,0,1,17,27.5,1.2,81,44.8,"4821","8342"," 970"," 236","4934","1392","2810","2279","4129","2049","3526","5700","2208","2983","3171"," 900","3810","5286","1717","4168","2296","2297","   9","4839","3813"," 898","2937","3098"," 812",0,"1712"," 519"," 131","2675","2193",2000-01-10,1.78571428571429,3.91290322580645,6.2,66999.9599997681,4,0,4,1
