"LC1.agr","LC2.for","LC3.gr","LC4.wgr","LC5.wetl","LC6.riv","LC7.bu","LC8.barr","LC9.CN","LC10.man","LC11.fl","W1.ws","W2.tmin","W3.tmax","W4.pcp","W5.rh","O.obs","P.bd1","P.br1","P.cl1","P.sa1","P.si1","P.dem1","P.sl1","P.bd2","P.br2","P.cl2","P.sa2","P.si2","P.dem2","P.sl2","P.bd3","P.br3","P.cl3","P.sa3","P.si3","P.dem3","P.sl3","P.bd4","P.br4","P.cl4","P.sa4","P.si4","P.dem4","P.sl4","P.bd5","P.br5","P.cl5","P.sa5","P.si5","P.dem5","P.sl5","date","W6.pcpw","W7.pcpm","W8.pcpmx","C.area","C.basin","C.size","C.clim","C.mo"
375826.984182043,699603.991626352,63970.26398254,0,1845.84955202,10888.429159971,13502.293127231,0,68.3800934517835,0.423248626728058,21743.905598832,1,19.5,32.3,0,82,472.3," 41917","154299"," 19109"," 22394"," 47861","  6022"," 82531"," 70275"," 64124"," 29860"," 96201"," 90870"," 61467"," 36687"," 70553"," 15985"," 73099"," 76041"," 61272"," 48942"," 43434"," 47282","  1409"," 82045"," 33390"," 29761"," 58730"," 47734","  5794","     4"," 31708","  7795","  6057"," 60660"," 25435",2002-01-01,0.171428571428571,1.76483870967742,1.2,1187396.01000038,4,"large",3,1
375826.984182043,699603.991626352,63970.26398254,0,1845.84955202,10888.429159971,13502.293127231,0,68.3800934517835,0.423248626728058,21743.905598832,1,23.2,29.5,1.2,81,475.6," 41917","154299"," 19109"," 22394"," 47861","  6022"," 82531"," 70275"," 64124"," 29860"," 96201"," 90870"," 61467"," 36687"," 70553"," 15985"," 73099"," 76041"," 61272"," 48942"," 43434"," 47282","  1409"," 82045"," 33390"," 29761"," 58730"," 47734","  5794","     4"," 31708","  7795","  6057"," 60660"," 25435",2002-01-02,0.171428571428571,1.76483870967742,1.2,1187396.01000038,4,"large",3,1
375826.984182043,699603.991626352,63970.26398254,0,1845.84955202,10888.429159971,13502.293127231,0,68.3800934517835,0.423248626728058,21743.905598832,1,20,33,0,70,503," 41917","154299"," 19109"," 22394"," 47861","  6022"," 82531"," 70275"," 64124"," 29860"," 96201"," 90870"," 61467"," 36687"," 70553"," 15985"," 73099"," 76041"," 61272"," 48942"," 43434"," 47282","  1409"," 82045"," 33390"," 29761"," 58730"," 47734","  5794","     4"," 31708","  7795","  6057"," 60660"," 25435",2002-01-03,0.171428571428571,1.76483870967742,1.2,1187396.01000038,4,"large",3,1
375826.984182043,699603.991626352,63970.26398254,0,1845.84955202,10888.429159971,13502.293127231,0,68.3800934517835,0.423248626728058,21743.905598832,3,17,25.5,0,77,528.5," 41917","154299"," 19109"," 22394"," 47861","  6022"," 82531"," 70275"," 64124"," 29860"," 96201"," 90870"," 61467"," 36687"," 70553"," 15985"," 73099"," 76041"," 61272"," 48942"," 43434"," 47282","  1409"," 82045"," 33390"," 29761"," 58730"," 47734","  5794","     4"," 31708","  7795","  6057"," 60660"," 25435",2002-01-04,0.171428571428571,1.76483870967742,1.2,1187396.01000038,4,"large",3,1
375826.984182043,699603.991626352,63970.26398254,0,1845.84955202,10888.429159971,13502.293127231,0,68.3800934517835,0.423248626728058,21743.905598832,1,17,33.4,0,75,513.5," 41917","154299"," 19109"," 22394"," 47861","  6022"," 82531"," 70275"," 64124"," 29860"," 96201"," 90870"," 61467"," 36687"," 70553"," 15985"," 73099"," 76041"," 61272"," 48942"," 43434"," 47282","  1409"," 82045"," 33390"," 29761"," 58730"," 47734","  5794","     4"," 31708","  7795","  6057"," 60660"," 25435",2002-01-05,0.171428571428571,1.76483870967742,1.2,1187396.01000038,4,"large",3,1
375826.984182043,699603.991626352,63970.26398254,0,1845.84955202,10888.429159971,13502.293127231,0,68.3800934517835,0.423248626728058,21743.905598832,1,18.2,33,0,69,478.9," 41917","154299"," 19109"," 22394"," 47861","  6022"," 82531"," 70275"," 64124"," 29860"," 96201"," 90870"," 61467"," 36687"," 70553"," 15985"," 73099"," 76041"," 61272"," 48942"," 43434"," 47282","  1409"," 82045"," 33390"," 29761"," 58730"," 47734","  5794","     4"," 31708","  7795","  6057"," 60660"," 25435",2002-01-06,0.371428571428571,1.76483870967742,2,1187396.01000038,4,"large",3,1
375826.984182043,699603.991626352,63970.26398254,0,1845.84955202,10888.429159971,13502.293127231,0,68.3800934517835,0.423248626728058,21743.905598832,1,19,31.5,0,74,443.5," 41917","154299"," 19109"," 22394"," 47861","  6022"," 82531"," 70275"," 64124"," 29860"," 96201"," 90870"," 61467"," 36687"," 70553"," 15985"," 73099"," 76041"," 61272"," 48942"," 43434"," 47282","  1409"," 82045"," 33390"," 29761"," 58730"," 47734","  5794","     4"," 31708","  7795","  6057"," 60660"," 25435",2002-01-07,0.371428571428571,1.76483870967742,2,1187396.01000038,4,"large",3,1
375826.984182043,699603.991626352,63970.26398254,0,1845.84955202,10888.429159971,13502.293127231,0,68.3800934517835,0.423248626728058,21743.905598832,0,20,30,0,80,422.5," 41917","154299"," 19109"," 22394"," 47861","  6022"," 82531"," 70275"," 64124"," 29860"," 96201"," 90870"," 61467"," 36687"," 70553"," 15985"," 73099"," 76041"," 61272"," 48942"," 43434"," 47282","  1409"," 82045"," 33390"," 29761"," 58730"," 47734","  5794","     4"," 31708","  7795","  6057"," 60660"," 25435",2002-01-08,0.371428571428571,1.76483870967742,2,1187396.01000038,4,"large",3,1
375826.984182043,699603.991626352,63970.26398254,0,1845.84955202,10888.429159971,13502.293127231,0,68.3800934517835,0.423248626728058,21743.905598832,1,20,33,2,78,408.5," 41917","154299"," 19109"," 22394"," 47861","  6022"," 82531"," 70275"," 64124"," 29860"," 96201"," 90870"," 61467"," 36687"," 70553"," 15985"," 73099"," 76041"," 61272"," 48942"," 43434"," 47282","  1409"," 82045"," 33390"," 29761"," 58730"," 47734","  5794","     4"," 31708","  7795","  6057"," 60660"," 25435",2002-01-09,0.371428571428571,1.76483870967742,2,1187396.01000038,4,"large",3,1
375826.984182043,699603.991626352,63970.26398254,0,1845.84955202,10888.429159971,13502.293127231,0,68.3800934517835,0.423248626728058,21743.905598832,2,24.3,36,0,73,402.9," 41917","154299"," 19109"," 22394"," 47861","  6022"," 82531"," 70275"," 64124"," 29860"," 96201"," 90870"," 61467"," 36687"," 70553"," 15985"," 73099"," 76041"," 61272"," 48942"," 43434"," 47282","  1409"," 82045"," 33390"," 29761"," 58730"," 47734","  5794","     4"," 31708","  7795","  6057"," 60660"," 25435",2002-01-10,0.371428571428571,1.76483870967742,2,1187396.01000038,4,"large",3,1
