"LC1.agr","LC2.for","LC3.gr","LC4.wgr","LC5.wetl","LC6.riv","LC7.bu","LC8.barr","LC9.CN","LC10.man","LC11.fl","W1.ws","W2.tmin","W3.tmax","W4.pcp","W5.rh","O.obs","P.bd1","P.br1","P.cl1","P.sa1","P.si1","P.dem1","P.sl1","P.bd2","P.br2","P.cl2","P.sa2","P.si2","P.dem2","P.sl2","P.bd3","P.br3","P.cl3","P.sa3","P.si3","P.dem3","P.sl3","P.bd4","P.br4","P.cl4","P.sa4","P.si4","P.dem4","P.sl4","P.bd5","P.br5","P.cl5","P.sa5","P.si5","P.dem5","P.sl5","date","W6.pcpw","W7.pcpm","W8.pcpmx","C.area","C.basin","C.size","C.clim","C.mo"
306848.1421019,261632.06933818,30842.430864867,0,92.741351694,6853.518825459,16007.219858234,5.932080067,72.2795750543375,0.343742961563286,0,6,22.2,30.8,0,76.92,95.3," 7402","10779"," 6589","35205","21818","39470","74093","13612","51051","33255","27128","33352","32012","14310","14893","46940","48793","31088","19335","26403","15147","27526","11998","30050","25609","23802","18879","14407","60732"," 3397"," 5478"," 5135","25858"," 7401"," 6208",2000-01-01,1,3.69354838709677,4.2,622320.570000198,6,1,1,1
306848.1421019,261632.06933818,30842.430864867,0,92.741351694,6853.518825459,16007.219858234,5.932080067,72.2795750543375,0.343742961563286,0,2,22.4,29.8,0,80.88,89.9," 7402","10779"," 6589","35205","21818","39470","74093","13612","51051","33255","27128","33352","32012","14310","14893","46940","48793","31088","19335","26403","15147","27526","11998","30050","25609","23802","18879","14407","60732"," 3397"," 5478"," 5135","25858"," 7401"," 6208",2000-01-02,0.342857142857143,3.69354838709677,2.4,622320.570000198,6,1,1,1
306848.1421019,261632.06933818,30842.430864867,0,92.741351694,6853.518825459,16007.219858234,5.932080067,72.2795750543375,0.343742961563286,0,2,22.4,32.6,0,94.92,91.7," 7402","10779"," 6589","35205","21818","39470","74093","13612","51051","33255","27128","33352","32012","14310","14893","46940","48793","31088","19335","26403","15147","27526","11998","30050","25609","23802","18879","14407","60732"," 3397"," 5478"," 5135","25858"," 7401"," 6208",2000-01-03,0.342857142857143,3.69354838709677,2.4,622320.570000198,6,1,1,1
306848.1421019,261632.06933818,30842.430864867,0,92.741351694,6853.518825459,16007.219858234,5.932080067,72.2795750543375,0.343742961563286,0,3,23.3,29.5,2.4,91.92,92.6," 7402","10779"," 6589","35205","21818","39470","74093","13612","51051","33255","27128","33352","32012","14310","14893","46940","48793","31088","19335","26403","15147","27526","11998","30050","25609","23802","18879","14407","60732"," 3397"," 5478"," 5135","25858"," 7401"," 6208",2000-01-04,0.342857142857143,3.69354838709677,2.4,622320.570000198,6,1,1,1
306848.1421019,261632.06933818,30842.430864867,0,92.741351694,6853.518825459,16007.219858234,5.932080067,72.2795750543375,0.343742961563286,0,2,21.7,30.6,0,82.32,80.2," 7402","10779"," 6589","35205","21818","39470","74093","13612","51051","33255","27128","33352","32012","14310","14893","46940","48793","31088","19335","26403","15147","27526","11998","30050","25609","23802","18879","14407","60732"," 3397"," 5478"," 5135","25858"," 7401"," 6208",2000-01-05,0.342857142857143,3.69354838709677,2.4,622320.570000198,6,1,1,1
306848.1421019,261632.06933818,30842.430864867,0,92.741351694,6853.518825459,16007.219858234,5.932080067,72.2795750543375,0.343742961563286,0,2,20.6,25,0,80.17,81," 7402","10779"," 6589","35205","21818","39470","74093","13612","51051","33255","27128","33352","32012","14310","14893","46940","48793","31088","19335","26403","15147","27526","11998","30050","25609","23802","18879","14407","60732"," 3397"," 5478"," 5135","25858"," 7401"," 6208",2000-01-06,0.342857142857143,3.69354838709677,2.4,622320.570000198,6,1,1,1
306848.1421019,261632.06933818,30842.430864867,0,92.741351694,6853.518825459,16007.219858234,5.932080067,72.2795750543375,0.343742961563286,0,2,22.6,33.5,0,85.36,77," 7402","10779"," 6589","35205","21818","39470","74093","13612","51051","33255","27128","33352","32012","14310","14893","46940","48793","31088","19335","26403","15147","27526","11998","30050","25609","23802","18879","14407","60732"," 3397"," 5478"," 5135","25858"," 7401"," 6208",2000-01-07,0.342857142857143,3.69354838709677,2.4,622320.570000198,6,1,1,1
306848.1421019,261632.06933818,30842.430864867,0,92.741351694,6853.518825459,16007.219858234,5.932080067,72.2795750543375,0.343742961563286,0,2,20.9,28.5,0,83.57,74.6," 7402","10779"," 6589","35205","21818","39470","74093","13612","51051","33255","27128","33352","32012","14310","14893","46940","48793","31088","19335","26403","15147","27526","11998","30050","25609","23802","18879","14407","60732"," 3397"," 5478"," 5135","25858"," 7401"," 6208",2000-01-08,0.342857142857143,3.69354838709677,2.4,622320.570000198,6,1,1,1
306848.1421019,261632.06933818,30842.430864867,0,92.741351694,6853.518825459,16007.219858234,5.932080067,72.2795750543375,0.343742961563286,0,2,22.3,31.3,0,78.97,71.6," 7402","10779"," 6589","35205","21818","39470","74093","13612","51051","33255","27128","33352","32012","14310","14893","46940","48793","31088","19335","26403","15147","27526","11998","30050","25609","23802","18879","14407","60732"," 3397"," 5478"," 5135","25858"," 7401"," 6208",2000-01-09,0.571428571428571,3.69354838709677,2.4,622320.570000198,6,1,1,1
306848.1421019,261632.06933818,30842.430864867,0,92.741351694,6853.518825459,16007.219858234,5.932080067,72.2795750543375,0.343742961563286,0,2,22.6,30.2,0,86.65,79.4," 7402","10779"," 6589","35205","21818","39470","74093","13612","51051","33255","27128","33352","32012","14310","14893","46940","48793","31088","19335","26403","15147","27526","11998","30050","25609","23802","18879","14407","60732"," 3397"," 5478"," 5135","25858"," 7401"," 6208",2000-01-10,0.571428571428571,3.69354838709677,2.4,622320.570000198,6,1,1,1
