"LC1.agr","LC2.for","LC3.gr","LC4.wgr","LC5.wetl","LC6.riv","LC7.bu","LC8.barr","LC9.CN","LC10.man","LC11.fl","W1.ws","W2.tmin","W3.tmax","W4.pcp","W5.rh","O.obs","P.bd1","P.br1","P.cl1","P.sa1","P.si1","P.dem1","P.sl1","P.bd2","P.br2","P.cl2","P.sa2","P.si2","P.dem2","P.sl2","P.bd3","P.br3","P.cl3","P.sa3","P.si3","P.dem3","P.sl3","P.bd4","P.br4","P.cl4","P.sa4","P.si4","P.dem4","P.sl4","P.bd5","P.br5","P.cl5","P.sa5","P.si5","P.dem5","P.sl5","date","W6.pcpw","W7.pcpm","W8.pcpmx","C.area","C.basin","C.size","C.clim","C.mo"
29448.5908,6275.671668864,422.3812513,0,18.67933798,126.6927526,1113.514187,0,77.7019162576506,0.236003015619872,0,1,24.5,29.2,1.7,93.53,0,"   2","  18","  37","1359","1669","1395","6371","  43","2033","2809","1788","1951","4881"," 393"," 542","4905","3273","2021","1809"," 888"," 376"," 436"," 575","1322","1736","1313"," 319"," 302","6515","   7","  97"," 634"," 796","  55","  96",2000-12-01,4.65714285714286,0.574193548387097,21,37405.7999999817,6,"small",1,12
29448.5908,6275.671668864,422.3812513,0,18.67933798,126.6927526,1113.514187,0,77.7019162576506,0.236003015619872,0,0,24.7,33.4,0,86.67,0,"   2","  18","  37","1359","1669","1395","6371","  43","2033","2809","1788","1951","4881"," 393"," 542","4905","3273","2021","1809"," 888"," 376"," 436"," 575","1322","1736","1313"," 319"," 302","6515","   7","  97"," 634"," 796","  55","  96",2000-12-02,4.65714285714286,0.574193548387097,21,37405.7999999817,6,"small",1,12
29448.5908,6275.671668864,422.3812513,0,18.67933798,126.6927526,1113.514187,0,77.7019162576506,0.236003015619872,0,1,24,32.8,6.7,88.49,0,"   2","  18","  37","1359","1669","1395","6371","  43","2033","2809","1788","1951","4881"," 393"," 542","4905","3273","2021","1809"," 888"," 376"," 436"," 575","1322","1736","1313"," 319"," 302","6515","   7","  97"," 634"," 796","  55","  96",2000-12-03,0.257142857142857,0.574193548387097,1.8,37405.7999999817,6,"small",1,12
29448.5908,6275.671668864,422.3812513,0,18.67933798,126.6927526,1113.514187,0,77.7019162576506,0.236003015619872,0,1,23.6,34.3,0,79.99,0,"   2","  18","  37","1359","1669","1395","6371","  43","2033","2809","1788","1951","4881"," 393"," 542","4905","3273","2021","1809"," 888"," 376"," 436"," 575","1322","1736","1313"," 319"," 302","6515","   7","  97"," 634"," 796","  55","  96",2000-12-04,0.257142857142857,0.574193548387097,1.8,37405.7999999817,6,"small",1,12
29448.5908,6275.671668864,422.3812513,0,18.67933798,126.6927526,1113.514187,0,77.7019162576506,0.236003015619872,0,2,23.4,32.2,0,88.58,0,"   2","  18","  37","1359","1669","1395","6371","  43","2033","2809","1788","1951","4881"," 393"," 542","4905","3273","2021","1809"," 888"," 376"," 436"," 575","1322","1736","1313"," 319"," 302","6515","   7","  97"," 634"," 796","  55","  96",2000-12-05,0.257142857142857,0.574193548387097,1.8,37405.7999999817,6,"small",1,12
29448.5908,6275.671668864,422.3812513,0,18.67933798,126.6927526,1113.514187,0,77.7019162576506,0.236003015619872,0,1,22.5,30.6,0,77.93,9.91,"   2","  18","  37","1359","1669","1395","6371","  43","2033","2809","1788","1951","4881"," 393"," 542","4905","3273","2021","1809"," 888"," 376"," 436"," 575","1322","1736","1313"," 319"," 302","6515","   7","  97"," 634"," 796","  55","  96",2000-12-06,0.257142857142857,0.574193548387097,1.8,37405.7999999817,6,"small",1,12
29448.5908,6275.671668864,422.3812513,0,18.67933798,126.6927526,1113.514187,0,77.7019162576506,0.236003015619872,0,2,23.2,30.7,0,83.26,1.51,"   2","  18","  37","1359","1669","1395","6371","  43","2033","2809","1788","1951","4881"," 393"," 542","4905","3273","2021","1809"," 888"," 376"," 436"," 575","1322","1736","1313"," 319"," 302","6515","   7","  97"," 634"," 796","  55","  96",2000-12-07,0.257142857142857,0.574193548387097,1.8,37405.7999999817,6,"small",1,12
29448.5908,6275.671668864,422.3812513,0,18.67933798,126.6927526,1113.514187,0,77.7019162576506,0.236003015619872,0,2,22.2,31.7,0,88.3,1.51,"   2","  18","  37","1359","1669","1395","6371","  43","2033","2809","1788","1951","4881"," 393"," 542","4905","3273","2021","1809"," 888"," 376"," 436"," 575","1322","1736","1313"," 319"," 302","6515","   7","  97"," 634"," 796","  55","  96",2000-12-08,0.257142857142857,0.574193548387097,1.8,37405.7999999817,6,"small",1,12
29448.5908,6275.671668864,422.3812513,0,18.67933798,126.6927526,1113.514187,0,77.7019162576506,0.236003015619872,0,2,22.3,30.2,0,83.64,1.51,"   2","  18","  37","1359","1669","1395","6371","  43","2033","2809","1788","1951","4881"," 393"," 542","4905","3273","2021","1809"," 888"," 376"," 436"," 575","1322","1736","1313"," 319"," 302","6515","   7","  97"," 634"," 796","  55","  96",2000-12-09,0.257142857142857,0.574193548387097,1.8,37405.7999999817,6,"small",1,12
29448.5908,6275.671668864,422.3812513,0,18.67933798,126.6927526,1113.514187,0,77.7019162576506,0.236003015619872,0,3,21.5,30.3,1.8,82.94,1.51,"   2","  18","  37","1359","1669","1395","6371","  43","2033","2809","1788","1951","4881"," 393"," 542","4905","3273","2021","1809"," 888"," 376"," 436"," 575","1322","1736","1313"," 319"," 302","6515","   7","  97"," 634"," 796","  55","  96",2000-12-10,0,0.574193548387097,0,37405.7999999817,6,"small",1,12
