"LC1.agr","LC2.for","LC3.gr","LC4.wgr","LC5.wetl","LC6.riv","LC7.bu","LC8.barr","LC9.CN","LC10.man","LC11.fl","W1.ws","W2.tmin","W3.tmax","W4.pcp","W5.rh","O.obs","P.bd1","P.br1","P.cl1","P.sa1","P.si1","P.dem1","P.sl1","P.bd2","P.br2","P.cl2","P.sa2","P.si2","P.dem2","P.sl2","P.bd3","P.br3","P.cl3","P.sa3","P.si3","P.dem3","P.sl3","P.bd4","P.br4","P.cl4","P.sa4","P.si4","P.dem4","P.sl4","P.bd5","P.br5","P.cl5","P.sa5","P.si5","P.dem5","P.sl5","date","W6.pcpw","W7.pcpm","W8.pcpmx","C.area","C.basin","C.size","C.clim","C.mo"
11995.5410623,69269.6403111,2145.4850302,0,0,445.34199967,431.42785956,0,63.7295926613042,0.520765335663904,0,1,22,33,0,76.92,130.25,"4111","3257","2001"," 776","2675",0,"3783","4438","7138","3779","3717","8087","4020","2183","2739","5657","6776","6906","3128","4701","3152","3561"," 763","3425","4691","2136","4892","4244","1980","  14"," 848"," 739"," 803","3216","3467",2000-01-01,0.828571428571429,6.12322580645161,5.2,84308.8500002228,6,"small",3,1
11995.5410623,69269.6403111,2145.4850302,0,0,445.34199967,431.42785956,0,63.7295926613042,0.520765335663904,0,3,21,32.5,0,80.88,130.25,"4111","3257","2001"," 776","2675",0,"3783","4438","7138","3779","3717","8087","4020","2183","2739","5657","6776","6906","3128","4701","3152","3561"," 763","3425","4691","2136","4892","4244","1980","  14"," 848"," 739"," 803","3216","3467",2000-01-02,0.371428571428571,6.12322580645161,2.2,84308.8500002228,6,"small",3,1
11995.5410623,69269.6403111,2145.4850302,0,0,445.34199967,431.42785956,0,63.7295926613042,0.520765335663904,0,1,22.9,29.8,0.4,94.92,154.25,"4111","3257","2001"," 776","2675",0,"3783","4438","7138","3779","3717","8087","4020","2183","2739","5657","6776","6906","3128","4701","3152","3561"," 763","3425","4691","2136","4892","4244","1980","  14"," 848"," 739"," 803","3216","3467",2000-01-03,0.371428571428571,6.12322580645161,2.2,84308.8500002228,6,"small",3,1
11995.5410623,69269.6403111,2145.4850302,0,0,445.34199967,431.42785956,0,63.7295926613042,0.520765335663904,0,1,23.5,31.2,2.2,91.92,154.25,"4111","3257","2001"," 776","2675",0,"3783","4438","7138","3779","3717","8087","4020","2183","2739","5657","6776","6906","3128","4701","3152","3561"," 763","3425","4691","2136","4892","4244","1980","  14"," 848"," 739"," 803","3216","3467",2000-01-04,0.371428571428571,6.12322580645161,2.2,84308.8500002228,6,"small",3,1
11995.5410623,69269.6403111,2145.4850302,0,0,445.34199967,431.42785956,0,63.7295926613042,0.520765335663904,0,2,22.5,32.4,0,82.32,154.25,"4111","3257","2001"," 776","2675",0,"3783","4438","7138","3779","3717","8087","4020","2183","2739","5657","6776","6906","3128","4701","3152","3561"," 763","3425","4691","2136","4892","4244","1980","  14"," 848"," 739"," 803","3216","3467",2000-01-05,0.371428571428571,6.12322580645161,2.2,84308.8500002228,6,"small",3,1
11995.5410623,69269.6403111,2145.4850302,0,0,445.34199967,431.42785956,0,63.7295926613042,0.520765335663904,0,1,18,34,0,80.17,130.25,"4111","3257","2001"," 776","2675",0,"3783","4438","7138","3779","3717","8087","4020","2183","2739","5657","6776","6906","3128","4701","3152","3561"," 763","3425","4691","2136","4892","4244","1980","  14"," 848"," 739"," 803","3216","3467",2000-01-06,0.371428571428571,6.12322580645161,2.2,84308.8500002228,6,"small",3,1
11995.5410623,69269.6403111,2145.4850302,0,0,445.34199967,431.42785956,0,63.7295926613042,0.520765335663904,0,1,23.2,34.6,0,85.36,130.25,"4111","3257","2001"," 776","2675",0,"3783","4438","7138","3779","3717","8087","4020","2183","2739","5657","6776","6906","3128","4701","3152","3561"," 763","3425","4691","2136","4892","4244","1980","  14"," 848"," 739"," 803","3216","3467",2000-01-07,0.371428571428571,6.12322580645161,2.2,84308.8500002228,6,"small",3,1
11995.5410623,69269.6403111,2145.4850302,0,0,445.34199967,431.42785956,0,63.7295926613042,0.520765335663904,0,1,21,32,0,83.57,130.25,"4111","3257","2001"," 776","2675",0,"3783","4438","7138","3779","3717","8087","4020","2183","2739","5657","6776","6906","3128","4701","3152","3561"," 763","3425","4691","2136","4892","4244","1980","  14"," 848"," 739"," 803","3216","3467",2000-01-08,0.371428571428571,6.12322580645161,2.2,84308.8500002228,6,"small",3,1
11995.5410623,69269.6403111,2145.4850302,0,0,445.34199967,431.42785956,0,63.7295926613042,0.520765335663904,0,1,18.8,31,0,78.97,70.25,"4111","3257","2001"," 776","2675",0,"3783","4438","7138","3779","3717","8087","4020","2183","2739","5657","6776","6906","3128","4701","3152","3561"," 763","3425","4691","2136","4892","4244","1980","  14"," 848"," 739"," 803","3216","3467",2000-01-09,2.3,6.12322580645161,9.9,84308.8500002228,6,"small",3,1
11995.5410623,69269.6403111,2145.4850302,0,0,445.34199967,431.42785956,0,63.7295926613042,0.520765335663904,0,1,22,33.8,0,86.65,70.25,"4111","3257","2001"," 776","2675",0,"3783","4438","7138","3779","3717","8087","4020","2183","2739","5657","6776","6906","3128","4701","3152","3561"," 763","3425","4691","2136","4892","4244","1980","  14"," 848"," 739"," 803","3216","3467",2000-01-10,2.3,6.12322580645161,9.9,84308.8500002228,6,"small",3,1
