"LC1.agr","LC2.for","LC3.gr","LC4.wgr","LC5.wetl","LC6.riv","LC7.bu","LC8.barr","LC9.CN","LC10.man","LC11.fl","W1.ws","W2.tmin","W3.tmax","W4.pcp","W5.rh","O.obs","P.bd1","P.br1","P.cl1","P.sa1","P.si1","P.dem1","P.sl1","P.bd2","P.br2","P.cl2","P.sa2","P.si2","P.dem2","P.sl2","P.bd3","P.br3","P.cl3","P.sa3","P.si3","P.dem3","P.sl3","P.bd4","P.br4","P.cl4","P.sa4","P.si4","P.dem4","P.sl4","P.bd5","P.br5","P.cl5","P.sa5","P.si5","P.dem5","P.sl5","date","W6.pcpw","W7.pcpm","W8.pcpmx","C.area","C.basin","C.size","C.clim","C.mo"
34821.482389,46375.275369614,1162.07037386,0,0,627.22822359,2104.68416244,0,69.6963243015818,0.398543923491735,648.48472132,1,19.5,31.5,0,90.34,29.6," 1578"," 2156","  388"," 2943"," 3201"," 4842"," 9099"," 2996","11409"," 5308"," 4940"," 6835"," 4300"," 2205"," 2180"," 3342"," 6687"," 4847"," 3044"," 4467"," 2368"," 2451","  297"," 3662"," 4006"," 1881"," 3466"," 2742"," 8004","    5"," 1164","  473"," 2248","  134","  795",2002-01-01,11.1285714285714,3.32354838709677,69.6,85742.5499999695,6,"small",1,1
34821.482389,46375.275369614,1162.07037386,0,0,627.22822359,2104.68416244,0,69.6963243015818,0.398543923491735,648.48472132,1,23.5,26.2,8.3,96.46,37.1," 1578"," 2156","  388"," 2943"," 3201"," 4842"," 9099"," 2996","11409"," 5308"," 4940"," 6835"," 4300"," 2205"," 2180"," 3342"," 6687"," 4847"," 3044"," 4467"," 2368"," 2451","  297"," 3662"," 4006"," 1881"," 3466"," 2742"," 8004","    5"," 1164","  473"," 2248","  134","  795",2002-01-02,11.1285714285714,3.32354838709677,69.6,85742.5499999695,6,"small",1,1
34821.482389,46375.275369614,1162.07037386,0,0,627.22822359,2104.68416244,0,69.6963243015818,0.398543923491735,648.48472132,1,21.5,33.8,0,81.94,39.2," 1578"," 2156","  388"," 2943"," 3201"," 4842"," 9099"," 2996","11409"," 5308"," 4940"," 6835"," 4300"," 2205"," 2180"," 3342"," 6687"," 4847"," 3044"," 4467"," 2368"," 2451","  297"," 3662"," 4006"," 1881"," 3466"," 2742"," 8004","    5"," 1164","  473"," 2248","  134","  795",2002-01-03,11.1285714285714,3.32354838709677,69.6,85742.5499999695,6,"small",1,1
34821.482389,46375.275369614,1162.07037386,0,0,627.22822359,2104.68416244,0,69.6963243015818,0.398543923491735,648.48472132,1,22.5,31.3,69.6,89.06,37.8," 1578"," 2156","  388"," 2943"," 3201"," 4842"," 9099"," 2996","11409"," 5308"," 4940"," 6835"," 4300"," 2205"," 2180"," 3342"," 6687"," 4847"," 3044"," 4467"," 2368"," 2451","  297"," 3662"," 4006"," 1881"," 3466"," 2742"," 8004","    5"," 1164","  473"," 2248","  134","  795",2002-01-04,11.1285714285714,3.32354838709677,69.6,85742.5499999695,6,"small",1,1
34821.482389,46375.275369614,1162.07037386,0,0,627.22822359,2104.68416244,0,69.6963243015818,0.398543923491735,648.48472132,1,22.5,34.8,0,75.11,52.2," 1578"," 2156","  388"," 2943"," 3201"," 4842"," 9099"," 2996","11409"," 5308"," 4940"," 6835"," 4300"," 2205"," 2180"," 3342"," 6687"," 4847"," 3044"," 4467"," 2368"," 2451","  297"," 3662"," 4006"," 1881"," 3466"," 2742"," 8004","    5"," 1164","  473"," 2248","  134","  795",2002-01-05,11.1285714285714,3.32354838709677,69.6,85742.5499999695,6,"small",1,1
34821.482389,46375.275369614,1162.07037386,0,0,627.22822359,2104.68416244,0,69.6963243015818,0.398543923491735,648.48472132,2,20.5,35,0,77.75,57," 1578"," 2156","  388"," 2943"," 3201"," 4842"," 9099"," 2996","11409"," 5308"," 4940"," 6835"," 4300"," 2205"," 2180"," 3342"," 6687"," 4847"," 3044"," 4467"," 2368"," 2451","  297"," 3662"," 4006"," 1881"," 3466"," 2742"," 8004","    5"," 1164","  473"," 2248","  134","  795",2002-01-06,2.21571428571429,3.32354838709677,14,85742.5499999695,6,"small",1,1
34821.482389,46375.275369614,1162.07037386,0,0,627.22822359,2104.68416244,0,69.6963243015818,0.398543923491735,648.48472132,1,23,35.2,0,85.39,60.6," 1578"," 2156","  388"," 2943"," 3201"," 4842"," 9099"," 2996","11409"," 5308"," 4940"," 6835"," 4300"," 2205"," 2180"," 3342"," 6687"," 4847"," 3044"," 4467"," 2368"," 2451","  297"," 3662"," 4006"," 1881"," 3466"," 2742"," 8004","    5"," 1164","  473"," 2248","  134","  795",2002-01-07,2.21571428571429,3.32354838709677,14,85742.5499999695,6,"small",1,1
34821.482389,46375.275369614,1162.07037386,0,0,627.22822359,2104.68416244,0,69.6963243015818,0.398543923491735,648.48472132,2,24,31.9,0,82.83,59.4," 1578"," 2156","  388"," 2943"," 3201"," 4842"," 9099"," 2996","11409"," 5308"," 4940"," 6835"," 4300"," 2205"," 2180"," 3342"," 6687"," 4847"," 3044"," 4467"," 2368"," 2451","  297"," 3662"," 4006"," 1881"," 3466"," 2742"," 8004","    5"," 1164","  473"," 2248","  134","  795",2002-01-08,2.21571428571429,3.32354838709677,14,85742.5499999695,6,"small",1,1
34821.482389,46375.275369614,1162.07037386,0,0,627.22822359,2104.68416244,0,69.6963243015818,0.398543923491735,648.48472132,1,23,34.2,14,91.89,54.6," 1578"," 2156","  388"," 2943"," 3201"," 4842"," 9099"," 2996","11409"," 5308"," 4940"," 6835"," 4300"," 2205"," 2180"," 3342"," 6687"," 4847"," 3044"," 4467"," 2368"," 2451","  297"," 3662"," 4006"," 1881"," 3466"," 2742"," 8004","    5"," 1164","  473"," 2248","  134","  795",2002-01-09,2.21571428571429,3.32354838709677,14,85742.5499999695,6,"small",1,1
34821.482389,46375.275369614,1162.07037386,0,0,627.22822359,2104.68416244,0,69.6963243015818,0.398543923491735,648.48472132,1,23,35.6,0.01,86.43,60.6," 1578"," 2156","  388"," 2943"," 3201"," 4842"," 9099"," 2996","11409"," 5308"," 4940"," 6835"," 4300"," 2205"," 2180"," 3342"," 6687"," 4847"," 3044"," 4467"," 2368"," 2451","  297"," 3662"," 4006"," 1881"," 3466"," 2742"," 8004","    5"," 1164","  473"," 2248","  134","  795",2002-01-10,2.21571428571429,3.32354838709677,14,85742.5499999695,6,"small",1,1
34821.482389,46375.275369614,1162.07037386,0,0,627.22822359,2104.68416244,0,69.6963243015818,0.398543923491735,648.48472132,1,22.5,33.6,0,89.47,59.4," 1578"," 2156","  388"," 2943"," 3201"," 4842"," 9099"," 2996","11409"," 5308"," 4940"," 6835"," 4300"," 2205"," 2180"," 3342"," 6687"," 4847"," 3044"," 4467"," 2368"," 2451","  297"," 3662"," 4006"," 1881"," 3466"," 2742"," 8004","    5"," 1164","  473"," 2248","  134","  795",2002-01-11,2.21571428571429,3.32354838709677,14,85742.5499999695,6,"small",1,1
34821.482389,46375.275369614,1162.07037386,0,0,627.22822359,2104.68416244,0,69.6963243015818,0.398543923491735,648.48472132,1,22.5,32.5,0,83.26,47.4," 1578"," 2156","  388"," 2943"," 3201"," 4842"," 9099"," 2996","11409"," 5308"," 4940"," 6835"," 4300"," 2205"," 2180"," 3342"," 6687"," 4847"," 3044"," 4467"," 2368"," 2451","  297"," 3662"," 4006"," 1881"," 3466"," 2742"," 8004","    5"," 1164","  473"," 2248","  134","  795",2002-01-12,2.21571428571429,3.32354838709677,14,85742.5499999695,6,"small",1,1
34821.482389,46375.275369614,1162.07037386,0,0,627.22822359,2104.68416244,0,69.6963243015818,0.398543923491735,648.48472132,2,22,33.5,1.5,86.74,50.1," 1578"," 2156","  388"," 2943"," 3201"," 4842"," 9099"," 2996","11409"," 5308"," 4940"," 6835"," 4300"," 2205"," 2180"," 3342"," 6687"," 4847"," 3044"," 4467"," 2368"," 2451","  297"," 3662"," 4006"," 1881"," 3466"," 2742"," 8004","    5"," 1164","  473"," 2248","  134","  795",2002-01-13,0.00285714285714286,3.32354838709677,0.01,85742.5499999695,6,"small",1,1
34821.482389,46375.275369614,1162.07037386,0,0,627.22822359,2104.68416244,0,69.6963243015818,0.398543923491735,648.48472132,4,22.8,30.2,0,72.09,60.6," 1578"," 2156","  388"," 2943"," 3201"," 4842"," 9099"," 2996","11409"," 5308"," 4940"," 6835"," 4300"," 2205"," 2180"," 3342"," 6687"," 4847"," 3044"," 4467"," 2368"," 2451","  297"," 3662"," 4006"," 1881"," 3466"," 2742"," 8004","    5"," 1164","  473"," 2248","  134","  795",2002-01-14,0.00285714285714286,3.32354838709677,0.01,85742.5499999695,6,"small",1,1
34821.482389,46375.275369614,1162.07037386,0,0,627.22822359,2104.68416244,0,69.6963243015818,0.398543923491735,648.48472132,1,21.5,33.5,0,83.19,67.5," 1578"," 2156","  388"," 2943"," 3201"," 4842"," 9099"," 2996","11409"," 5308"," 4940"," 6835"," 4300"," 2205"," 2180"," 3342"," 6687"," 4847"," 3044"," 4467"," 2368"," 2451","  297"," 3662"," 4006"," 1881"," 3466"," 2742"," 8004","    5"," 1164","  473"," 2248","  134","  795",2002-01-15,0.00285714285714286,3.32354838709677,0.01,85742.5499999695,6,"small",1,1
