"LC1.agr","LC2.for","LC3.gr","LC4.wgr","LC5.wetl","LC6.riv","LC7.bu","LC8.barr","LC9.CN","LC10.man","LC11.fl","W1.ws","W2.tmin","W3.tmax","W4.pcp","W5.rh","O.obs","P.bd1","P.br1","P.cl1","P.sa1","P.si1","P.dem1","P.sl1","P.bd2","P.br2","P.cl2","P.sa2","P.si2","P.dem2","P.sl2","P.bd3","P.br3","P.cl3","P.sa3","P.si3","P.dem3","P.sl3","P.bd4","P.br4","P.cl4","P.sa4","P.si4","P.dem4","P.sl4","P.bd5","P.br5","P.cl5","P.sa5","P.si5","P.dem5","P.sl5","date","W6.pcpw","W7.pcpm","W8.pcpmx","C.area","C.basin","C.size","C.clim","C.mo"
103500.605669,35520.672815431,4744.5269313,0,69.075404249,602.6099463,3366.9892433,0,76.1082689459512,0.268141045736391,0,6,22.2,30.8,0,76.92,12.64,"  248"," 1755","  651","12019"," 4525","13256","22591"," 1385","10647"," 7100"," 7066"," 4771"," 8533"," 1814"," 2695","15175","11551"," 5622"," 4871"," 3364"," 2130"," 5100"," 2104"," 9141"," 4098"," 7960"," 2898"," 2353","20299","   46"," 1284","  922"," 7600"," 1676","  839",2000-01-01,1,3.69354838709677,4.2,147804.750000244,6,"large",1,1
103500.605669,35520.672815431,4744.5269313,0,69.075404249,602.6099463,3366.9892433,0,76.1082689459512,0.268141045736391,0,2,22.4,29.8,0,80.88,12.88,"  248"," 1755","  651","12019"," 4525","13256","22591"," 1385","10647"," 7100"," 7066"," 4771"," 8533"," 1814"," 2695","15175","11551"," 5622"," 4871"," 3364"," 2130"," 5100"," 2104"," 9141"," 4098"," 7960"," 2898"," 2353","20299","   46"," 1284","  922"," 7600"," 1676","  839",2000-01-02,0.342857142857143,3.69354838709677,2.4,147804.750000244,6,"large",1,1
103500.605669,35520.672815431,4744.5269313,0,69.075404249,602.6099463,3366.9892433,0,76.1082689459512,0.268141045736391,0,2,22.4,32.6,0,94.92,10.96,"  248"," 1755","  651","12019"," 4525","13256","22591"," 1385","10647"," 7100"," 7066"," 4771"," 8533"," 1814"," 2695","15175","11551"," 5622"," 4871"," 3364"," 2130"," 5100"," 2104"," 9141"," 4098"," 7960"," 2898"," 2353","20299","   46"," 1284","  922"," 7600"," 1676","  839",2000-01-03,0.342857142857143,3.69354838709677,2.4,147804.750000244,6,"large",1,1
103500.605669,35520.672815431,4744.5269313,0,69.075404249,602.6099463,3366.9892433,0,76.1082689459512,0.268141045736391,0,3,23.3,29.5,2.4,91.92,9.4,"  248"," 1755","  651","12019"," 4525","13256","22591"," 1385","10647"," 7100"," 7066"," 4771"," 8533"," 1814"," 2695","15175","11551"," 5622"," 4871"," 3364"," 2130"," 5100"," 2104"," 9141"," 4098"," 7960"," 2898"," 2353","20299","   46"," 1284","  922"," 7600"," 1676","  839",2000-01-04,0.342857142857143,3.69354838709677,2.4,147804.750000244,6,"large",1,1
103500.605669,35520.672815431,4744.5269313,0,69.075404249,602.6099463,3366.9892433,0,76.1082689459512,0.268141045736391,0,2,21.7,30.6,0,82.32,8,"  248"," 1755","  651","12019"," 4525","13256","22591"," 1385","10647"," 7100"," 7066"," 4771"," 8533"," 1814"," 2695","15175","11551"," 5622"," 4871"," 3364"," 2130"," 5100"," 2104"," 9141"," 4098"," 7960"," 2898"," 2353","20299","   46"," 1284","  922"," 7600"," 1676","  839",2000-01-05,0.342857142857143,3.69354838709677,2.4,147804.750000244,6,"large",1,1
103500.605669,35520.672815431,4744.5269313,0,69.075404249,602.6099463,3366.9892433,0,76.1082689459512,0.268141045736391,0,2,20.6,25,0,80.17,6.8,"  248"," 1755","  651","12019"," 4525","13256","22591"," 1385","10647"," 7100"," 7066"," 4771"," 8533"," 1814"," 2695","15175","11551"," 5622"," 4871"," 3364"," 2130"," 5100"," 2104"," 9141"," 4098"," 7960"," 2898"," 2353","20299","   46"," 1284","  922"," 7600"," 1676","  839",2000-01-06,0.342857142857143,3.69354838709677,2.4,147804.750000244,6,"large",1,1
103500.605669,35520.672815431,4744.5269313,0,69.075404249,602.6099463,3366.9892433,0,76.1082689459512,0.268141045736391,0,2,22.6,33.5,0,85.36,6.8,"  248"," 1755","  651","12019"," 4525","13256","22591"," 1385","10647"," 7100"," 7066"," 4771"," 8533"," 1814"," 2695","15175","11551"," 5622"," 4871"," 3364"," 2130"," 5100"," 2104"," 9141"," 4098"," 7960"," 2898"," 2353","20299","   46"," 1284","  922"," 7600"," 1676","  839",2000-01-07,0.342857142857143,3.69354838709677,2.4,147804.750000244,6,"large",1,1
103500.605669,35520.672815431,4744.5269313,0,69.075404249,602.6099463,3366.9892433,0,76.1082689459512,0.268141045736391,0,2,20.9,28.5,0,83.57,8,"  248"," 1755","  651","12019"," 4525","13256","22591"," 1385","10647"," 7100"," 7066"," 4771"," 8533"," 1814"," 2695","15175","11551"," 5622"," 4871"," 3364"," 2130"," 5100"," 2104"," 9141"," 4098"," 7960"," 2898"," 2353","20299","   46"," 1284","  922"," 7600"," 1676","  839",2000-01-08,0.342857142857143,3.69354838709677,2.4,147804.750000244,6,"large",1,1
103500.605669,35520.672815431,4744.5269313,0,69.075404249,602.6099463,3366.9892433,0,76.1082689459512,0.268141045736391,0,2,22.3,31.3,0,78.97,9.6,"  248"," 1755","  651","12019"," 4525","13256","22591"," 1385","10647"," 7100"," 7066"," 4771"," 8533"," 1814"," 2695","15175","11551"," 5622"," 4871"," 3364"," 2130"," 5100"," 2104"," 9141"," 4098"," 7960"," 2898"," 2353","20299","   46"," 1284","  922"," 7600"," 1676","  839",2000-01-09,0.571428571428571,3.69354838709677,2.4,147804.750000244,6,"large",1,1
103500.605669,35520.672815431,4744.5269313,0,69.075404249,602.6099463,3366.9892433,0,76.1082689459512,0.268141045736391,0,2,22.6,30.2,0,86.65,12.88,"  248"," 1755","  651","12019"," 4525","13256","22591"," 1385","10647"," 7100"," 7066"," 4771"," 8533"," 1814"," 2695","15175","11551"," 5622"," 4871"," 3364"," 2130"," 5100"," 2104"," 9141"," 4098"," 7960"," 2898"," 2353","20299","   46"," 1284","  922"," 7600"," 1676","  839",2000-01-10,0.571428571428571,3.69354838709677,2.4,147804.750000244,6,"large",1,1
