"str","R","NSE","PBIAS","method","R","NSE","PBIAS","method","R","NSE","PBIAS","method","R","NSE","PBIAS","method"
"aarb_a",0.674632337838461,0.647245913996927,-0.2,"pca",0.474291597428523,0.450557783510255,1.3,"basin",0.489712367270724,0.478036455391226,8.9,"all",0.439144271050201,0.431032543088497,2.2,"shed"
"aarb_n",0.659970391731873,0.601822866210081,2.1,"pca",0.486659190992276,0.392974878496675,-4.1,"basin",0.506685858378376,0.411942797813144,0,"all",0.36197956421002,0.348871620295175,-0.7,"shed"
"abrb_s",0.738503093622196,0.669638056598499,-7.8,"pca",0.42500740917501,0.383365944520577,-7.6,"basin",0.51795146809664,0.475454394215374,-3.2,"all",0.446200545266694,0.395969272654308,-8.7,"shed"
"arb_b",0.43934371053852,0.409134131711625,-3.7,"pca",0.762521716777005,0.704321917993773,8.5,"basin",0.527547990328632,0.469765634168101,12.7,"all",0.273253141794565,0.270079994572645,1,"shed"
"arb_c",0.55558080873893,0.499202005262904,6.9,"pca",0.494737119494972,0.457035367767583,11.6,"basin",0.591724216860953,0.557157792366917,14.5,"all",0.219644508283595,0.213024785331706,23.1,"shed"
"crb_a",0.71725724461633,0.683711614248176,3.9,"pca",0.464397095478591,0.301900518221518,-16.3,"basin",0.564733526190564,0.466289449165794,-5.5,"all",0.264876210897178,0.252827231491699,-1.8,"shed"
"crb_be",0.747475640078156,0.647804470721613,4.5,"pca",0.388527617780779,0.307000968931267,12,"basin",0.350859140418561,0.305860056634672,25.5,"all",0.346587903847454,0.317914670072989,-4.8,"shed"
"crb_bu",0.768968622310115,0.754949078926432,3.3,"pca",0.635443501441566,0.597318256183061,-2.7,"basin",0.590937111167872,0.559033694342599,-3.4,"all",0.478681347300441,0.477797781475331,1.8,"shed"
"crb_d",0.668665640633442,0.630657015123389,3.5,"pca",0.531968905108292,0.463447269112805,1.1,"basin",0.532797562361794,0.450888429717215,-1.2,"all",0.388612068852373,0.366467835025041,-1.2,"shed"
"crb_j",0.550596077936342,0.518938546153314,3.5,"pca",0.268151425229075,0.245242495844514,-9.8,"basin",0.384345895447035,0.343009568858276,-1.7,"all",0.215842483213002,0.211789909274413,10.3,"shed"
"crb_m",0.627504494212374,0.621196455392645,0.5,"pca",0.702932354369812,0.676298017775698,1.9,"basin",0.715413374586325,0.681893456420686,1.6,"all",0.376345720071261,0.354389995191804,3.6,"shed"
"crb_p",0.70412554604452,0.673909362862643,3.5,"pca",0.230392613577621,-0.0252763009226873,-61.7,"basin",0.122012010857328,0.0227001442687476,-44.5,"all",0.492541249075706,0.47487725569159,9.6,"shed"
"crb_s",0.369330553939881,0.35979013526987,3.7,"pca",0.400829502044649,0.36771187275478,9.7,"basin",0.613556886320333,0.536247167224626,10.3,"all",0.187734185959994,0.187080139349672,3.5,"shed"
"crb_t",0.503586260515617,0.454301750196689,1.9,"pca",0.399969923334754,0.323409107919288,-3.4,"basin",0.612694600837611,0.515703974006998,6.1,"all",0.161483543436597,0.159027876167278,13.9,"shed"
"crb_u",0.657505241108923,0.601860074069411,0.7,"pca",0.534706785298882,0.268817832739516,-21.5,"basin",0.33085418559572,0.139630633367951,-25.9,"all",0.353277664565232,0.317769890154256,-2.4,"shed"
"mrb_s",0.553214158909683,0.52563606766534,-1.7,"pca",0.395905683482443,0.387494572966616,1.1,"basin",0.639317356367619,0.606180353997744,2.3,"all",0.403492294085673,0.392604931911316,0.9,"shed"
"prb_a",0.658626118059376,0.65388046966193,4.8,"pca",0.776795417763707,0.762798126582241,4.6,"basin",0.826997393841739,0.809061853180749,5,"all",0.661309079409744,0.657673363136422,4.7,"shed"
"prb_b",0.629262336363274,0.594647703179324,12,"pca",0.525398128103964,0.470412668063406,-2.6,"basin",0.474475149975108,0.408965245046122,15.7,"all",0.204356686999558,0.202492820577464,8,"shed"
"prb_c",0.760587208000395,0.722447455923422,8.3,"pca",0.732604728995406,0.694193299037075,5.1,"basin",0.562101221368971,0.363620298653452,59.1,"all",0.37944859315949,0.372925982150947,9.3,"shed"
"prb_p",0.723006348364635,0.644988613853067,3,"pca",0.676361228973318,0.609340875606846,0.5,"basin",0.624614504574022,0.568588124569229,3.1,"all",0.349150605188547,0.338143092570162,2.8,"shed"
"prb_r",0.88632616814723,0.875329121176954,1.1,"pca",0.891895264815382,0.873489948920239,0.9,"basin",0.833986524753558,0.820493808457397,8.6,"all",0.782099331623982,0.770260253509808,1.7,"shed"
